task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
71.381,0.0,0.0,0.0,0.0,0,0,14.2762,71.381,0.0
72.49,0.0,0.0,0.0,0.0,0,1,14.498,72.49,-1.1089999999999947
74.21700000000001,0.0,0.0,0.0,0.0,0,2,14.843400000000003,74.21700000000001,-1.727000000000018
75.592,0.0,0.0,0.0,0.0,0,3,15.1184,75.592,-1.3749999999999858
75.75800000000001,0.0,0.0,0.0,0.0,0,4,15.151600000000002,75.75800000000001,-0.16600000000001103
57.416,58.266999999999996,0.0,0.0,0.0,1,0,23.136599999999998,57.841499999999996,18.342000000000013
57.992000000000004,59.299,0.0,0.0,0.0,1,1,23.458199999999998,58.6455,8.367
58.69,58.9,0.0,0.0,0.0,1,2,23.518,58.795,8.733500000000006
59.162,58.67999999999999,0.0,0.0,0.0,1,3,23.568399999999997,58.92099999999999,8.607500000000009
59.788,57.99400000000001,0.0,0.0,0.0,1,4,23.556400000000004,58.891000000000005,8.637500000000003
55.135000000000005,42.92,38.974000000000004,0.0,0.0,2,0,27.4058,45.67633333333333,18.501
54.900999999999996,43.85,39.517,0.0,0.0,2,1,27.6536,46.089333333333336,11.921000000000005
55.261,44.387,38.879,0.0,0.0,2,2,27.705399999999997,46.175666666666665,12.01566666666667
55.727,44.622,38.057,0.0,0.0,2,3,27.6812,46.135333333333335,12.056000000000004
55.972,44.839,37.446,0.0,0.0,2,4,27.651400000000002,46.08566666666667,12.105666666666671
55.472,45.964999999999996,24.914,35.624,0.0,3,0,32.394999999999996,40.49375,16.07433333333334
54.073,45.745,24.369999999999997,38.636,0.0,3,1,32.5648,40.705999999999996,11.843500000000004
54.79,46.649,25.306,38.125,0.0,3,2,32.974000000000004,41.2175,12.085000000000003
55.111000000000004,47.0,25.474,37.299,0.0,3,3,32.976800000000004,41.221000000000004,12.081500000000002
55.30800000000001,47.453,25.878000000000004,37.684,0.0,3,4,33.2646,41.58075,11.721750000000002
55.355,43.257999999999996,30.125,30.355,37.311,4,0,39.2808,39.2808,13.529250000000005
54.809000000000005,42.711,29.686,30.669,39.989,4,1,39.57280000000001,39.57280000000001,10.531400000000001
54.935,42.851,29.732999999999997,30.814999999999998,39.704,4,2,39.607600000000005,39.607600000000005,11.032200000000003
54.98199999999999,43.011,29.839999999999996,30.955000000000002,39.357,4,3,39.629000000000005,39.629000000000005,11.010800000000005
54.64399999999999,42.069,29.108999999999998,31.452999999999996,40.207,4,4,39.496399999999994,39.496399999999994,11.143400000000005
