task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
70.49,0.0,0.0,0.0,0.0,0,0,70.49,70.49
72.62,0.0,0.0,0.0,0.0,0,1,72.62,72.62
74.7,0.0,0.0,0.0,0.0,0,2,74.7,74.7
76.14,0.0,0.0,0.0,0.0,0,3,76.14,76.14
76.62,0.0,0.0,0.0,0.0,0,4,76.62,76.62
77.02,0.0,0.0,0.0,0.0,0,5,77.02,77.02
52.86,56.82,0.0,0.0,0.0,1,0,54.84,56.82
53.24,56.73,0.0,0.0,0.0,1,1,54.98,56.73
54.56,55.41,0.0,0.0,0.0,1,2,54.98,55.41
55.77,54.27,0.0,0.0,0.0,1,3,55.02,54.27
55.8,55.36,0.0,0.0,0.0,1,4,55.58,55.36
55.68,55.7,0.0,0.0,0.0,1,5,55.69,55.7
52.91,42.14,39.43,0.0,0.0,2,0,44.83,39.43
53.73,42.28,37.88,0.0,0.0,2,1,44.63,37.88
54.65,43.42,35.89,0.0,0.0,2,2,44.65,35.89
58.32,47.17,39.9,0.0,0.0,2,3,48.46,39.9
56.69,46.71,45.83,0.0,0.0,2,4,49.74,45.83
59.93,46.08,44.83,0.0,0.0,2,5,50.28,44.83
57.46,48.88,34.47,28.83,0.0,3,0,42.41,28.83
56.64,47.3,37.51,38.33,0.0,3,1,44.94,38.33
57.22,46.41,34.93,42.39,0.0,3,2,45.24,42.39
55.81,50.44,34.68,44.05,0.0,3,3,46.24,44.05
54.57,48.14,35.78,48.7,0.0,3,4,46.8,48.7
54.73,48.91,34.77,49.96,0.0,3,5,47.09,49.96
53.83,46.38,33.91,34.39,42.39,4,0,42.18,42.39
53.36,43.6,37.86,32.5,48.42,4,1,43.15,48.42
53.83,42.27,39.12,33.56,55.54,4,2,44.86,55.54
53.48,43.88,35.12,33.47,57.9,4,3,44.77,57.9
53.57,44.14,36.48,33.76,58.54,4,4,45.3,58.54
53.48,44.54,35.52,34.19,58.6,4,5,45.27,58.6
