task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
68.098,0.0,0.0,0.0,0.0,0,0,13.6196,68.098,0.0
73.662,0.0,0.0,0.0,0.0,0,1,14.732400000000002,73.662,-5.564000000000007
75.366,0.0,0.0,0.0,0.0,0,2,15.0732,75.366,-1.7039999999999935
76.252,0.0,0.0,0.0,0.0,0,3,15.250399999999999,76.252,-0.8859999999999957
76.09200000000001,0.0,0.0,0.0,0.0,0,4,15.218400000000003,76.09200000000001,0.15999999999998238
54.064,48.444,0.0,0.0,0.0,1,0,20.501600000000003,51.254000000000005,22.187999999999995
53.586,50.388,0.0,0.0,0.0,1,1,20.7948,51.986999999999995,10.361
54.114,49.67,0.0,0.0,0.0,1,2,20.7568,51.891999999999996,11.427999999999997
54.50599999999999,50.028,0.0,0.0,0.0,1,3,20.906799999999997,52.266999999999996,11.053
54.416,49.162,0.0,0.0,0.0,1,4,20.715600000000002,51.789,11.530999999999999
51.55799999999999,42.214,36.656,0.0,0.0,2,0,26.0856,43.476,16.434
48.95399999999999,41.97,40.465999999999994,0.0,0.0,2,1,26.278,43.79666666666666,10.635333333333335
49.736000000000004,42.238,39.95,0.0,0.0,2,2,26.384800000000002,43.97466666666667,11.727333333333327
48.832,42.744,41.236000000000004,0.0,0.0,2,3,26.562400000000004,44.27066666666667,11.431333333333328
49.416000000000004,43.1,40.572,0.0,0.0,2,4,26.617600000000003,44.36266666666668,11.595999999999997
53.616,37.706,24.292,24.631999999999998,0.0,3,0,28.049200000000003,35.0615,17.420666666666666
46.013999999999996,33.638,25.541999999999998,41.266000000000005,0.0,3,1,29.291999999999994,36.614999999999995,11.511999999999999
46.525999999999996,33.916000000000004,25.610000000000003,40.428,0.0,3,2,29.296000000000003,36.620000000000005,15.665500000000002
48.036,35.327999999999996,27.137999999999998,40.812,0.0,3,3,30.262800000000006,37.828500000000005,14.457000000000003
48.602,35.604,28.624000000000002,40.584,0.0,3,4,30.682799999999997,38.3535,13.932
55.14,38.874,25.384,21.785999999999998,31.996000000000002,4,0,34.636,34.636,16.9895
49.38,34.29,24.282,31.878000000000004,42.176,4,1,36.4012,36.4012,11.8264
50.408,36.124,24.64,31.172000000000004,43.532,4,2,37.175200000000004,37.175200000000004,13.088400000000002
50.516,36.536,23.642,30.310000000000002,43.492,4,3,36.89919999999999,36.89919999999999,13.6356
51.226,36.736000000000004,23.964,30.682,42.986000000000004,4,4,37.1188,37.1188,13.416
