task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
68.098,0.0,0.0,0.0,0.0,0,0,13.6196,68.098,0.0
73.662,0.0,0.0,0.0,0.0,0,1,14.732400000000002,73.662,-5.564000000000007
75.366,0.0,0.0,0.0,0.0,0,2,15.0732,75.366,-1.7039999999999935
76.252,0.0,0.0,0.0,0.0,0,3,15.250399999999999,76.252,-0.8859999999999957
76.09200000000001,0.0,0.0,0.0,0.0,0,4,15.218400000000003,76.09200000000001,0.15999999999998238
50.732000000000006,48.606,0.0,0.0,0.0,1,0,19.867600000000003,49.669000000000004,25.51999999999999
51.246,49.55,0.0,0.0,0.0,1,1,20.1592,50.397999999999996,12.030999999999999
51.794000000000004,48.896,0.0,0.0,0.0,1,2,20.137999999999998,50.345,12.555999999999994
52.148,48.538,0.0,0.0,0.0,1,3,20.1372,50.343,12.557999999999996
52.504,47.94,0.0,0.0,0.0,1,4,20.0888,50.221999999999994,12.678999999999998
41.971999999999994,33.918,42.022,0.0,0.0,2,0,23.582399999999996,39.303999999999995,24.956
42.396,35.858,45.066,0.0,0.0,2,1,24.663999999999998,41.10666666666666,14.834666666666664
42.766,36.202,44.588,0.0,0.0,2,2,24.711199999999998,41.185333333333325,15.770666666666665
43.37,36.510000000000005,44.164,0.0,0.0,2,3,24.808799999999998,41.348,15.607999999999997
43.938,36.589999999999996,43.656,0.0,0.0,2,4,24.8368,41.394666666666666,15.561333333333332
38.465999999999994,27.076,26.448,40.332,0.0,3,0,26.4644,33.0805,26.292666666666666
40.730000000000004,30.85,33.174,47.832,0.0,3,1,30.517200000000003,38.1465,14.653499999999998
43.604,33.903999999999996,34.342,48.75,0.0,3,2,32.12,40.15,14.525
45.092,34.172,34.102,48.55,0.0,3,3,32.3832,40.479,14.425500000000001
48.918,35.872,38.116,51.222,0.0,3,4,34.825599999999994,43.532,11.372499999999999
51.382000000000005,34.024,27.380000000000003,38.104,43.29,4,0,38.836,38.836,17.799999999999997
50.142,31.3,26.568,40.442,53.786,4,1,40.4476,40.4476,12.628399999999997
47.946000000000005,30.688,26.636000000000003,41.944,56.726,4,2,40.788,40.788,14.387199999999996
48.3,31.339999999999996,26.195999999999998,41.78,58.162,4,3,41.1556,41.1556,14.607600000000001
49.878,32.458,26.45,42.646,60.245999999999995,4,4,42.3356,42.3356,13.714799999999997
