task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
68.098,0.0,0.0,0.0,0.0,0,0,13.6196,68.098,0.0
73.662,0.0,0.0,0.0,0.0,0,1,14.732400000000002,73.662,-5.564000000000007
75.366,0.0,0.0,0.0,0.0,0,2,15.0732,75.366,-1.7039999999999935
76.252,0.0,0.0,0.0,0.0,0,3,15.250399999999999,76.252,-0.8859999999999957
76.09200000000001,0.0,0.0,0.0,0.0,0,4,15.218400000000003,76.09200000000001,0.15999999999998238
52.501999999999995,49.056,0.0,0.0,0.0,1,0,20.3116,50.778999999999996,23.75
51.507999999999996,49.936,0.0,0.0,0.0,1,1,20.2888,50.721999999999994,11.931999999999999
51.970000000000006,49.308,0.0,0.0,0.0,1,2,20.2556,50.639,12.454999999999995
52.29,48.712,0.0,0.0,0.0,1,3,20.200400000000002,50.501000000000005,12.592999999999996
52.858000000000004,48.18,0.0,0.0,0.0,1,4,20.207600000000003,50.519000000000005,12.574999999999996
47.872,41.164,38.622,0.0,0.0,2,0,25.5316,42.55266666666667,18.575999999999997
46.456,41.866,41.44,0.0,0.0,2,1,25.9524,43.254,11.682666666666664
47.042,42.61,40.932,0.0,0.0,2,2,26.1168,43.528,12.347999999999997
47.589999999999996,42.81,39.989999999999995,0.0,0.0,2,3,26.077999999999996,43.46333333333333,12.412666666666667
47.924,42.932,39.42,0.0,0.0,2,4,26.055200000000003,43.425333333333334,12.450666666666663
47.77,36.788,26.338,30.215999999999998,0.0,3,0,28.2224,35.278,18.910666666666664
48.352,36.628,29.131999999999998,39.164,0.0,3,1,30.6552,38.319,11.142
47.962,36.484,28.945999999999998,38.884,0.0,3,2,30.4552,38.069,13.628999999999998
49.984,39.236000000000004,30.671999999999997,39.616,0.0,3,3,31.901599999999995,39.876999999999995,11.820999999999998
49.948,39.834,32.362,39.364,0.0,3,4,32.3016,40.377,11.433999999999997
51.048,40.484,27.071999999999996,27.264,35.904,4,0,36.354400000000005,36.354400000000005,15.343999999999998
48.334,38.37,27.244,32.848,40.980000000000004,4,1,37.5552,37.5552,11.074399999999999
49.416,38.158,28.306,33.95399999999999,41.43,4,2,38.2528,38.2528,11.392
49.839999999999996,38.501999999999995,27.816000000000003,33.446,41.192,4,3,38.1592,38.1592,11.5756
49.839999999999996,38.106,28.082,34.327999999999996,41.721999999999994,4,4,38.4156,38.4156,11.3192
