task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,72.03,0.0,0.0,0.0,0.0,72.03,72.03
0,1,73.49,0.0,0.0,0.0,0.0,73.49,73.49
0,2,77.36,0.0,0.0,0.0,0.0,77.36,77.36
0,3,77.32,0.0,0.0,0.0,0.0,77.32,77.32
0,4,83.54,0.0,0.0,0.0,0.0,83.54,83.54
0,5,85.95,0.0,0.0,0.0,0.0,85.95,85.95
1,0,54.4,56.74,0.0,0.0,0.0,55.57,56.74
1,1,59.05,61.17,0.0,0.0,0.0,60.11,61.17
1,2,62.93,61.12,0.0,0.0,0.0,62.02,61.12
1,3,63.2,72.62,0.0,0.0,0.0,67.91,72.62
1,4,64.64,71.76,0.0,0.0,0.0,68.2,71.76
1,5,62.46,76.98,0.0,0.0,0.0,69.72,76.98
2,0,43.67,40.08,61.92,0.0,0.0,48.56,61.92
2,1,45.72,35.22,67.29,0.0,0.0,49.41,67.29
2,2,48.36,42.0,69.14,0.0,0.0,53.17,69.14
2,3,48.95,43.46,69.5,0.0,0.0,53.97,69.5
2,4,50.04,45.48,71.39,0.0,0.0,55.64,71.39
2,5,50.7,45.2,70.94,0.0,0.0,55.61,70.94
3,0,44.31,37.65,27.83,59.31,0.0,42.28,59.31
3,1,47.87,42.49,28.02,62.37,0.0,45.19,62.37
3,2,51.38,46.41,36.91,69.57,0.0,51.07,69.57
3,3,50.02,47.7,40.23,70.05,0.0,52.0,70.05
3,4,51.34,45.78,43.7,71.12,0.0,52.98,71.12
3,5,50.49,48.91,42.31,76.22,0.0,54.48,76.22
4,0,42.66,38.42,40.16,36.36,62.55,44.03,62.55
4,1,46.02,40.33,37.89,36.45,68.21,45.78,68.21
4,2,48.11,42.26,43.53,39.85,73.31,49.41,73.31
4,3,50.1,43.43,44.38,40.29,75.08,50.66,75.08
4,4,49.32,43.71,44.91,42.63,76.17,51.35,76.17
4,5,48.24,45.15,44.68,45.36,80.79,52.84,80.79
