task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,72.03,0.0,0.0,0.0,0.0,72.03,72.03
0,1,73.49,0.0,0.0,0.0,0.0,73.49,73.49
0,2,77.36,0.0,0.0,0.0,0.0,77.36,77.36
0,3,77.32,0.0,0.0,0.0,0.0,77.32,77.32
0,4,83.54,0.0,0.0,0.0,0.0,83.54,83.54
0,5,85.95,0.0,0.0,0.0,0.0,85.95,85.95
1,0,67.41,55.52,0.0,0.0,0.0,61.46,55.52
1,1,69.55,56.87,0.0,0.0,0.0,63.21,56.87
1,2,70.33,56.54,0.0,0.0,0.0,63.44,56.54
1,3,70.24,65.76,0.0,0.0,0.0,68.0,65.76
1,4,69.55,67.07,0.0,0.0,0.0,68.31,67.07
1,5,69.36,67.93,0.0,0.0,0.0,68.65,67.93
2,0,62.47,45.86,50.28,0.0,0.0,52.87,50.28
2,1,58.83,43.11,57.21,0.0,0.0,53.05,57.21
2,2,60.97,44.97,57.3,0.0,0.0,54.41,57.3
2,3,60.91,46.14,59.81,0.0,0.0,55.62,59.81
2,4,53.73,52.68,70.72,0.0,0.0,59.04,70.72
2,5,53.36,52.66,75.07,0.0,0.0,60.36,75.07
3,0,49.15,48.28,43.75,49.77,0.0,47.74,49.77
3,1,51.39,48.23,43.18,55.07,0.0,49.47,55.07
3,2,54.25,49.75,49.54,65.72,0.0,54.82,65.72
3,3,53.81,52.96,49.32,69.33,0.0,56.36,69.33
3,4,54.74,51.98,50.88,71.33,0.0,57.23,71.33
3,5,53.13,52.54,47.46,77.73,0.0,57.72,77.73
4,0,47.25,46.02,46.12,50.26,56.58,49.25,56.58
4,1,51.25,45.82,47.58,49.5,63.81,51.59,63.81
4,2,51.49,46.78,48.99,48.91,72.27,53.69,72.27
4,3,51.02,45.72,47.93,48.88,76.48,54.01,76.48
4,4,51.81,45.39,49.63,49.3,79.17,55.06,79.17
4,5,49.54,46.42,49.31,50.2,85.03,56.1,85.03
