task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,72.03,0.0,0.0,0.0,0.0,72.03,72.03
0,1,76.06,0.0,0.0,0.0,0.0,76.06,76.06
0,2,80.14,0.0,0.0,0.0,0.0,80.14,80.14
0,3,86.41,0.0,0.0,0.0,0.0,86.41,86.41
0,4,87.83,0.0,0.0,0.0,0.0,87.83,87.83
0,5,89.86,0.0,0.0,0.0,0.0,89.86,89.86
1,0,68.12,61.47,0.0,0.0,0.0,64.8,61.47
1,1,66.89,63.28,0.0,0.0,0.0,65.09,63.28
1,2,66.8,71.31,0.0,0.0,0.0,69.06,71.31
1,3,66.53,81.44,0.0,0.0,0.0,73.98,81.44
1,4,64.72,85.11,0.0,0.0,0.0,74.91,85.11
1,5,65.37,86.49,0.0,0.0,0.0,75.93,86.49
2,0,57.29,60.14,51.85,0.0,0.0,56.43,51.85
2,1,58.72,54.01,58.58,0.0,0.0,57.1,58.58
2,2,58.43,57.95,63.64,0.0,0.0,60.01,63.64
2,3,56.8,61.36,73.42,0.0,0.0,63.86,73.42
2,4,56.99,59.35,77.09,0.0,0.0,64.48,77.09
2,5,54.41,57.43,81.08,0.0,0.0,64.31,81.08
3,0,51.26,51.71,51.59,52.09,0.0,51.66,52.09
3,1,51.31,51.94,50.15,59.19,0.0,53.15,59.19
3,2,52.76,53.91,53.47,66.05,0.0,56.55,66.05
3,3,54.12,54.2,53.26,70.49,0.0,58.02,70.49
3,4,53.76,54.65,53.08,74.09,0.0,58.9,74.09
3,5,54.75,53.46,51.52,77.27,0.0,59.25,77.27
4,0,49.61,46.1,44.79,48.88,53.07,48.49,53.07
4,1,52.83,48.07,52.01,47.73,63.7,52.87,63.7
4,2,50.99,50.64,53.54,49.62,71.73,55.3,71.73
4,3,48.65,49.67,52.24,47.95,78.23,55.35,78.23
4,4,50.77,47.27,53.48,47.93,81.6,56.21,81.6
4,5,48.83,47.85,54.11,46.94,84.15,56.38,84.15
