task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.77,0.0,0.0,0.0,0.0,75.77,75.77
0,2,77.41,0.0,0.0,0.0,0.0,77.41,77.41
0,3,79.53,0.0,0.0,0.0,0.0,79.53,79.53
0,4,80.04,0.0,0.0,0.0,0.0,80.04,80.04
0,5,80.83,0.0,0.0,0.0,0.0,80.83,80.83
1,0,64.81,54.62,0.0,0.0,0.0,59.72,54.62
1,1,64.84,55.34,0.0,0.0,0.0,60.09,55.34
1,2,65.38,54.94,0.0,0.0,0.0,60.16,54.94
1,3,65.59,53.95,0.0,0.0,0.0,59.77,53.95
1,4,66.9,53.12,0.0,0.0,0.0,60.01,53.12
1,5,66.32,52.35,0.0,0.0,0.0,59.33,52.35
2,0,60.34,32.29,44.89,0.0,0.0,45.84,44.89
2,1,59.99,31.28,45.41,0.0,0.0,45.56,45.41
2,2,61.47,31.79,44.8,0.0,0.0,46.02,44.8
2,3,62.32,33.94,44.11,0.0,0.0,46.79,44.11
2,4,62.52,34.78,43.24,0.0,0.0,46.85,43.24
2,5,64.37,37.42,50.09,0.0,0.0,50.63,50.09
3,0,58.43,40.82,31.09,39.31,0.0,42.41,39.31
3,1,58.0,39.75,31.51,39.3,0.0,42.14,39.3
3,2,59.92,40.77,32.43,42.17,0.0,43.82,42.17
3,3,60.38,40.95,31.97,42.11,0.0,43.85,42.11
3,4,58.59,43.1,33.41,52.2,0.0,46.82,52.2
3,5,58.68,42.55,34.8,53.73,0.0,47.44,53.73
4,0,52.02,36.94,36.04,31.35,50.47,41.36,50.47
4,1,52.8,36.32,36.54,31.04,56.11,42.56,56.11
4,2,53.88,36.57,36.61,30.66,58.44,43.23,58.44
4,3,54.5,36.2,37.86,30.58,60.44,43.92,60.44
4,4,54.08,35.45,37.16,32.12,62.7,44.3,62.7
4,5,54.55,35.64,37.83,32.28,64.03,44.87,64.03
