task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.78,0.0,0.0,0.0,0.0,75.78,75.78
0,2,77.51,0.0,0.0,0.0,0.0,77.51,77.51
0,3,79.57,0.0,0.0,0.0,0.0,79.57,79.57
0,4,80.01,0.0,0.0,0.0,0.0,80.01,80.01
0,5,81.22,0.0,0.0,0.0,0.0,81.22,81.22
1,0,52.0,51.15,0.0,0.0,0.0,51.58,51.15
1,1,55.71,51.17,0.0,0.0,0.0,53.44,51.17
1,2,56.02,49.92,0.0,0.0,0.0,52.97,49.92
1,3,58.4,48.12,0.0,0.0,0.0,53.26,48.12
1,4,61.14,55.21,0.0,0.0,0.0,58.18,55.21
1,5,58.26,64.18,0.0,0.0,0.0,61.22,64.18
2,0,45.75,30.0,58.65,0.0,0.0,44.8,58.65
2,1,48.83,30.35,59.53,0.0,0.0,46.24,59.53
2,2,49.69,30.78,60.47,0.0,0.0,46.98,60.47
2,3,50.74,31.32,60.42,0.0,0.0,47.49,60.42
2,4,50.17,32.63,63.07,0.0,0.0,48.62,63.07
2,5,49.8,36.49,64.04,0.0,0.0,50.11,64.04
3,0,40.0,31.11,26.15,51.74,0.0,37.25,51.74
3,1,45.11,35.46,27.91,55.87,0.0,41.09,55.87
3,2,47.96,36.76,28.55,57.33,0.0,42.65,57.33
3,3,49.36,37.86,29.54,58.13,0.0,43.72,58.13
3,4,48.14,37.15,28.47,60.83,0.0,43.65,60.83
3,5,49.22,36.05,30.52,61.98,0.0,44.44,61.98
4,0,41.64,29.64,29.11,25.86,56.98,36.65,56.98
4,1,42.03,29.31,32.25,25.39,62.07,38.21,62.07
4,2,44.06,31.74,32.01,26.15,63.31,39.45,63.31
4,3,43.96,38.43,37.52,33.46,68.26,44.33,68.26
4,4,45.07,37.57,40.03,35.46,73.31,46.29,73.31
4,5,43.68,36.14,39.09,34.4,77.0,46.06,77.0
