task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.78,0.0,0.0,0.0,0.0,75.78,75.78
0,2,77.51,0.0,0.0,0.0,0.0,77.51,77.51
0,3,79.57,0.0,0.0,0.0,0.0,79.57,79.57
0,4,80.01,0.0,0.0,0.0,0.0,80.01,80.01
0,5,81.22,0.0,0.0,0.0,0.0,81.22,81.22
1,0,52.0,51.15,0.0,0.0,0.0,51.58,51.15
1,1,53.87,50.17,0.0,0.0,0.0,52.02,50.17
1,2,59.32,55.24,0.0,0.0,0.0,57.28,55.24
1,3,59.3,56.35,0.0,0.0,0.0,57.82,56.35
1,4,59.17,57.49,0.0,0.0,0.0,58.33,57.49
1,5,59.37,57.33,0.0,0.0,0.0,58.35,57.33
2,0,49.93,25.54,56.37,0.0,0.0,43.95,56.37
2,1,51.0,24.08,58.65,0.0,0.0,44.58,58.65
2,2,49.43,24.88,58.42,0.0,0.0,44.24,58.42
2,3,50.08,25.12,58.49,0.0,0.0,44.56,58.49
2,4,50.91,24.81,57.86,0.0,0.0,44.53,57.86
2,5,50.38,23.93,57.24,0.0,0.0,43.85,57.24
3,0,45.23,31.84,23.24,51.03,0.0,37.83,51.03
3,1,48.5,32.71,22.55,53.41,0.0,39.29,53.41
3,2,48.1,34.52,25.39,57.19,0.0,41.3,57.19
3,3,49.72,34.75,25.93,58.73,0.0,42.28,58.73
3,4,51.76,34.92,26.42,59.1,0.0,43.05,59.1
3,5,49.87,34.07,28.26,62.8,0.0,43.75,62.8
4,0,42.38,27.77,28.7,24.05,59.25,36.43,59.25
4,1,44.4,28.66,30.3,21.71,63.52,37.72,63.52
4,2,45.09,34.15,34.3,31.33,71.5,43.27,71.5
4,3,45.92,35.29,35.29,31.23,71.94,43.93,71.94
4,4,45.78,33.86,37.96,33.07,76.62,45.46,76.62
4,5,44.67,34.05,39.44,34.47,77.71,46.07,77.71
