task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.78,0.0,0.0,0.0,0.0,75.78,75.78
0,2,77.51,0.0,0.0,0.0,0.0,77.51,77.51
0,3,79.57,0.0,0.0,0.0,0.0,79.57,79.57
0,4,80.01,0.0,0.0,0.0,0.0,80.01,80.01
0,5,81.22,0.0,0.0,0.0,0.0,81.22,81.22
1,0,64.69,56.49,0.0,0.0,0.0,60.59,56.49
1,1,66.19,58.23,0.0,0.0,0.0,62.21,58.23
1,2,66.06,58.85,0.0,0.0,0.0,62.46,58.85
1,3,65.86,58.13,0.0,0.0,0.0,62.0,58.13
1,4,65.14,65.45,0.0,0.0,0.0,65.3,65.45
1,5,62.88,71.88,0.0,0.0,0.0,67.38,71.88
2,0,57.44,54.49,49.48,0.0,0.0,53.8,49.48
2,1,55.62,51.11,55.87,0.0,0.0,54.2,55.87
2,2,56.1,48.21,58.36,0.0,0.0,54.22,58.36
2,3,54.1,46.85,61.59,0.0,0.0,54.18,61.59
2,4,54.76,50.13,73.02,0.0,0.0,59.3,73.02
2,5,51.87,47.44,75.69,0.0,0.0,58.33,75.69
3,0,47.48,44.73,50.81,49.42,0.0,48.11,49.42
3,1,49.81,44.1,50.55,54.87,0.0,49.83,54.87
3,2,49.8,45.4,49.84,61.55,0.0,51.65,61.55
3,3,50.76,44.93,48.64,65.63,0.0,52.49,65.63
3,4,51.3,45.06,47.18,67.96,0.0,52.88,67.96
3,5,49.43,44.57,47.36,71.05,0.0,53.1,71.05
4,0,45.82,38.01,46.24,42.11,51.63,44.76,51.63
4,1,46.77,39.63,49.87,41.26,60.79,47.66,60.79
4,2,48.13,38.72,49.07,40.97,66.54,48.69,66.54
4,3,49.18,38.01,48.88,38.94,70.46,49.09,70.46
4,4,48.0,37.87,47.61,38.32,72.87,48.93,72.87
4,5,47.66,38.19,44.78,39.64,75.6,49.17,75.6
