task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
67.78,0.0,0.0,0.0,0.0,0,0,13.556000000000001,67.78,0.0
67.904,0.0,0.0,0.0,0.0,0,1,13.5808,67.904,-0.12399999999999523
70.442,0.0,0.0,0.0,0.0,0,2,14.088399999999998,70.442,-2.5379999999999967
70.264,0.0,0.0,0.0,0.0,0,3,14.0528,70.264,0.17799999999999727
70.458,0.0,0.0,0.0,0.0,0,4,14.0916,70.458,-0.016000000000005343
45.260000000000005,39.076,0.0,0.0,0.0,1,0,16.867200000000004,42.168000000000006,25.197999999999993
43.466,41.866,0.0,0.0,0.0,1,1,17.066399999999998,42.666,12.100999999999999
44.938,43.86,0.0,0.0,0.0,1,2,17.7596,44.399,11.762999999999998
46.534000000000006,44.126,0.0,0.0,0.0,1,3,18.131999999999998,45.33,11.828999999999997
47.932,43.754,0.0,0.0,0.0,1,4,18.337200000000003,45.843,11.448999999999998
47.236000000000004,36.257999999999996,33.488,0.0,0.0,2,0,23.3964,38.994,15.544999999999998
44.204,38.501999999999995,38.926,0.0,0.0,2,1,24.3264,40.544,8.813333333333333
45.362,38.756,38.474000000000004,0.0,0.0,2,2,24.5184,40.864,10.305999999999997
46.174,39.232000000000006,38.128,0.0,0.0,2,3,24.7068,41.178000000000004,9.991999999999997
46.260000000000005,38.888,38.634,0.0,0.0,2,4,24.7564,41.260666666666665,9.90933333333333
50.074,31.284000000000002,26.592000000000002,20.618000000000002,0.0,3,0,25.713600000000003,32.142,15.186666666666667
47.786,31.22,32.257999999999996,36.158,0.0,3,1,29.4844,36.8555,6.676500000000001
49.722,35.154,32.001999999999995,37.714,0.0,3,2,30.9184,38.647999999999996,8.769
49.898,35.04600000000001,32.574,38.7,0.0,3,3,31.243600000000004,39.054500000000004,8.751499999999997
51.117999999999995,35.166,32.136,39.654,0.0,3,4,31.614799999999995,39.518499999999996,8.534
51.066,33.282,26.806,30.336000000000002,31.2,4,0,34.538,34.538,12.918499999999998
50.798,31.688,22.233999999999998,28.672000000000004,42.284000000000006,4,1,35.1352,35.1352,9.7376
52.024,31.964000000000006,22.182,27.982,44.118,4,2,35.653999999999996,35.653999999999996,11.435599999999999
51.262,31.74,20.625999999999998,27.464,45.38,4,3,35.294399999999996,35.294399999999996,12.162000000000003
51.19,31.634000000000004,21.464,27.582,45.618,4,4,35.4976,35.4976,12.2112
