task_1,task_2,task_3,task_4,task_5,task,cycle
69.806,0.0,0.0,0.0,0.0,0,0
69.97999999999999,0.0,0.0,0.0,0.0,0,1
70.426,0.0,0.0,0.0,0.0,0,2
73.038,0.0,0.0,0.0,0.0,0,3
75.27799999999999,0.0,0.0,0.0,0.0,0,4
49.222,45.402,0.0,0.0,0.0,1,0
48.65,46.278,0.0,0.0,0.0,1,1
48.714,45.92,0.0,0.0,0.0,1,2
48.36,45.322,0.0,0.0,0.0,1,3
47.982,44.722,0.0,0.0,0.0,1,4
33.760000000000005,36.55,42.184000000000005,0.0,0.0,2,0
34.577999999999996,36.922000000000004,41.812,0.0,0.0,2,1
35.534000000000006,39.1,41.748000000000005,0.0,0.0,2,2
36.174,39.327999999999996,41.188,0.0,0.0,2,3
36.727999999999994,39.688,40.87,0.0,0.0,2,4
39.763999999999996,36.442,38.715999999999994,37.95399999999999,0.0,3,0
41.20399999999999,36.934,39.924,40.410000000000004,0.0,3,1
39.786,35.408,40.124,42.126,0.0,3,2
40.362,34.796,39.498000000000005,42.856,0.0,3,3
40.696000000000005,34.836,39.382,42.67,0.0,3,4
41.470000000000006,32.88,31.804000000000002,37.342,39.726,4,0
43.95,33.638,32.268,38.91,43.022000000000006,4,1
45.126,35.528,33.690000000000005,40.238,47.077999999999996,4,2
44.328,34.836,33.89,41.954,48.059999999999995,4,3
44.836,34.782,34.69,42.763999999999996,48.083999999999996,4,4
