task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
67.78,0.0,0.0,0.0,0.0,0,0,13.556000000000001,67.78,0.0
67.904,0.0,0.0,0.0,0.0,0,1,13.5808,67.904,-0.12399999999999523
70.442,0.0,0.0,0.0,0.0,0,2,14.088399999999998,70.442,-2.5379999999999967
70.264,0.0,0.0,0.0,0.0,0,3,14.0528,70.264,0.17799999999999727
70.458,0.0,0.0,0.0,0.0,0,4,14.0916,70.458,-0.016000000000005343
45.93,46.106,0.0,0.0,0.0,1,0,18.4072,46.018,24.528
46.638,47.606,0.0,0.0,0.0,1,1,18.8488,47.122,11.16
47.188,46.986000000000004,0.0,0.0,0.0,1,2,18.8348,47.087,11.944999999999997
47.718,46.772000000000006,0.0,0.0,0.0,1,3,18.898000000000003,47.245000000000005,11.786999999999995
47.932,46.278,0.0,0.0,0.0,1,4,18.842000000000002,47.105000000000004,11.927
39.04600000000001,35.964,46.22,0.0,0.0,2,0,24.246000000000002,40.410000000000004,21.526999999999997
39.914,38.78,48.148,0.0,0.0,2,1,25.3684,42.28066666666667,12.480666666666664
42.732,40.896,48.456,0.0,0.0,2,2,26.416800000000002,44.028,11.376
43.052,40.152,48.538,0.0,0.0,2,3,26.348400000000005,43.91400000000001,11.592666666666668
43.388,40.418,48.362,0.0,0.0,2,4,26.433600000000002,44.056000000000004,11.478
40.236000000000004,33.986000000000004,34.914,37.82,0.0,3,0,29.391200000000005,36.739000000000004,19.155333333333328
39.65,31.327999999999996,37.414,44.23,0.0,3,1,30.524399999999996,38.155499999999996,12.950000000000001
42.964,33.946,39.9,48.324,0.0,3,2,33.0268,41.283500000000004,11.4245
43.584,33.958,40.67,50.638,0.0,3,3,33.769999999999996,42.2125,11.518999999999998
41.882,32.80200000000001,40.032,50.842,0.0,3,4,33.111599999999996,41.3895,12.920499999999999
44.45399999999999,35.034,35.104,41.242000000000004,39.234,4,0,39.013600000000004,39.013600000000004,15.4025
45.019999999999996,34.79600000000001,33.692,43.82,48.696000000000005,4,1,41.2048,41.2048,10.130799999999997
44.734,35.5,31.326,43.206,53.09400000000001,4,2,41.572,41.572,11.655999999999997
44.22,34.714,31.168,45.998000000000005,56.214,4,3,42.4628,42.4628,11.6448
44.488,34.198,30.554000000000002,45.774,57.092,4,4,42.4212,42.4212,12.310399999999998
