task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.92,0.0,0.0,0.0,0.0,0,0,72.92,72.92
74.08,0.0,0.0,0.0,0.0,0,1,74.08,74.08
73.8,0.0,0.0,0.0,0.0,0,2,73.8,73.8
72.76,0.0,0.0,0.0,0.0,0,3,72.76,72.76
72.59,0.0,0.0,0.0,0.0,0,4,72.59,72.59
71.82,0.0,0.0,0.0,0.0,0,5,71.82,71.82
55.77,62.19,0.0,0.0,0.0,1,0,58.98,62.19
54.87,62.88,0.0,0.0,0.0,1,1,58.88,62.88
53.62,62.85,0.0,0.0,0.0,1,2,58.24,62.85
53.82,62.9,0.0,0.0,0.0,1,3,58.36,62.9
53.54,62.99,0.0,0.0,0.0,1,4,58.26,62.99
55.46,62.44,0.0,0.0,0.0,1,5,58.95,62.44
53.24,45.56,41.81,0.0,0.0,2,0,46.87,41.81
52.75,44.42,42.68,0.0,0.0,2,1,46.62,42.68
52.49,44.08,42.33,0.0,0.0,2,2,46.3,42.33
53.2,43.57,41.59,0.0,0.0,2,3,46.12,41.59
53.47,43.56,40.94,0.0,0.0,2,4,45.99,40.94
52.62,44.35,42.03,0.0,0.0,2,5,46.33,42.03
50.12,48.74,29.11,34.8,0.0,3,0,40.69,34.8
49.19,46.67,27.21,40.61,0.0,3,1,40.92,40.61
49.91,46.87,27.29,40.61,0.0,3,2,41.17,40.61
50.96,46.7,26.88,40.83,0.0,3,3,41.34,40.83
50.71,47.82,28.0,40.6,0.0,3,4,41.78,40.6
51.09,48.19,26.49,40.72,0.0,3,5,41.62,40.72
48.12,40.32,30.25,29.25,49.71,4,0,39.53,49.71
48.0,38.97,28.96,28.09,56.75,4,1,40.15,56.75
49.48,39.47,31.41,28.56,56.99,4,2,41.18,56.99
49.19,39.94,29.49,28.96,57.4,4,3,41.0,57.4
49.03,38.07,31.34,27.69,58.55,4,4,40.94,58.55
48.77,38.72,32.07,28.11,58.57,4,5,41.25,58.57
