task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
67.78,0.0,0.0,0.0,0.0,0,0,13.556000000000001,67.78,0.0
67.904,0.0,0.0,0.0,0.0,0,1,13.5808,67.904,-0.12399999999999523
70.442,0.0,0.0,0.0,0.0,0,2,14.088399999999998,70.442,-2.5379999999999967
70.264,0.0,0.0,0.0,0.0,0,3,14.0528,70.264,0.17799999999999727
70.458,0.0,0.0,0.0,0.0,0,4,14.0916,70.458,-0.016000000000005343
46.016,42.028000000000006,0.0,0.0,0.0,1,0,17.608800000000002,44.022000000000006,24.442
46.888,46.370000000000005,0.0,0.0,0.0,1,1,18.651600000000002,46.629000000000005,9.614
47.634,45.746,0.0,0.0,0.0,1,2,18.676,46.69,11.724
48.128,45.55800000000001,0.0,0.0,0.0,1,3,18.7372,46.843,11.570999999999998
48.942,47.5,0.0,0.0,0.0,1,4,19.288400000000003,48.221000000000004,10.193000000000001
46.742,39.751999999999995,39.922,0.0,0.0,2,0,25.2832,42.138666666666666,15.732000000000003
44.898,40.948,42.076,0.0,0.0,2,1,25.5844,42.64066666666667,9.985999999999997
45.624,41.76,42.21,0.0,0.0,2,2,25.918799999999997,43.198,10.146666666666667
46.14,42.327999999999996,43.246,0.0,0.0,2,3,26.3428,43.904666666666664,9.484666666666667
46.314,42.556,43.152,0.0,0.0,2,4,26.4044,44.00733333333333,9.727333333333334
48.106,40.484,34.17,29.832,0.0,3,0,30.518400000000003,38.148,12.814666666666666
46.494,38.492000000000004,37.266,37.568,0.0,3,1,31.964,39.955,7.804
46.176,38.25,37.256,38.674,0.0,3,2,32.0712,40.089,9.604
47.06,39.208,39.156,40.348,0.0,3,3,33.154399999999995,41.443,8.5265
46.616,38.702000000000005,38.956,41.282,0.0,3,4,33.111200000000004,41.389,8.998999999999999
50.480000000000004,37.333999999999996,33.65,33.956,39.25,4,0,38.934000000000005,38.934000000000005,11.766499999999999
50.004,34.372,31.034000000000002,36.094,46.852,4,1,39.671200000000006,39.671200000000006,8.675999999999998
48.974000000000004,35.019999999999996,31.578000000000003,37.504,47.660000000000004,4,2,40.1472,40.1472,9.720399999999998
49.576,35.022000000000006,31.564,38.382,48.312000000000005,4,3,40.571200000000005,40.571200000000005,9.457999999999998
51.438,37.772000000000006,36.378,41.077999999999996,53.164,4,4,43.965999999999994,43.965999999999994,6.193599999999999
