task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
69.19,0.0,0.0,0.0,0.0,0,0,13.838,69.19,0.0
68.998,0.0,0.0,0.0,0.0,0,1,13.799600000000002,68.998,0.19199999999999307
68.974,0.0,0.0,0.0,0.0,0,2,13.7948,68.974,0.21599999999999397
68.482,0.0,0.0,0.0,0.0,0,3,13.6964,68.482,0.7079999999999984
68.044,0.0,0.0,0.0,0.0,0,4,13.608799999999999,68.044,1.1460000000000008
58.65,48.815999999999995,0.0,0.0,0.0,1,0,21.493199999999998,53.733,10.54
59.152,48.94799999999999,0.0,0.0,0.0,1,1,21.619999999999997,54.05,4.952999999999999
59.568,48.746,0.0,0.0,0.0,1,2,21.662799999999997,54.157,4.9119999999999955
59.94,48.362,0.0,0.0,0.0,1,3,21.6604,54.150999999999996,4.917999999999996
60.164,48.218,0.0,0.0,0.0,1,4,21.6764,54.191,4.877999999999993
53.346000000000004,36.278000000000006,42.70399999999999,0.0,0.0,2,0,26.465600000000002,44.10933333333333,14.25699999999999
53.586,36.676,41.732,0.0,0.0,2,1,26.3988,43.998,9.615999999999994
53.732000000000006,37.022000000000006,41.19,0.0,0.0,2,2,26.388800000000003,43.98133333333334,9.632666666666658
53.717999999999996,36.224000000000004,42.462,0.0,0.0,2,3,26.4808,44.13466666666667,9.479333333333328
53.90599999999999,36.544,41.928,0.0,0.0,2,4,26.475599999999996,44.126,9.488
52.496,42.22,29.666000000000004,38.160000000000004,0.0,3,0,32.5084,40.6355,12.153333333333327
53.452,41.344,29.32,38.798,0.0,3,1,32.5828,40.7285,9.021999999999997
53.89,40.826,29.492,37.868,0.0,3,2,32.415200000000006,40.519000000000005,9.390999999999996
53.972,41.052,27.883999999999997,38.864,0.0,3,3,32.3544,40.443,9.466999999999997
53.50600000000001,43.284000000000006,27.74,40.898,0.0,3,4,33.08560000000001,41.357000000000006,8.56949999999999
53.746,38.162,35.212,31.556,42.33,4,0,40.20120000000001,40.20120000000001,10.765999999999995
52.762,36.035999999999994,32.54,31.339999999999996,46.406,4,1,39.8168,39.8168,8.9972
52.965999999999994,36.064,31.636000000000003,31.752,47.8,4,2,40.043600000000005,40.043600000000005,9.585599999999998
53.084,37.858,33.176,33.64,49.342,4,3,41.42,41.42,8.487999999999996
52.205999999999996,39.708,34.251999999999995,35.318,55.104,4,4,43.31759999999999,43.31759999999999,6.8988
