task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.92,0.0,0.0,0.0,0.0,0,0,72.92,72.92
73.84,0.0,0.0,0.0,0.0,0,1,73.84,73.84
73.69,0.0,0.0,0.0,0.0,0,2,73.69,73.69
73.21,0.0,0.0,0.0,0.0,0,3,73.21,73.21
72.39,0.0,0.0,0.0,0.0,0,4,72.39,72.39
71.01,0.0,0.0,0.0,0.0,0,5,71.01,71.01
52.9,62.11,0.0,0.0,0.0,1,0,57.5,62.11
50.95,61.98,0.0,0.0,0.0,1,1,56.46,61.98
51.28,61.71,0.0,0.0,0.0,1,2,56.5,61.71
51.85,61.1,0.0,0.0,0.0,1,3,56.48,61.1
52.57,59.94,0.0,0.0,0.0,1,4,56.26,59.94
51.77,61.34,0.0,0.0,0.0,1,5,56.56,61.34
52.65,42.29,40.96,0.0,0.0,2,0,45.3,40.96
53.68,42.54,38.93,0.0,0.0,2,1,45.05,38.93
53.91,41.97,39.33,0.0,0.0,2,2,45.07,39.33
54.24,41.85,37.57,0.0,0.0,2,3,44.55,37.57
54.68,42.18,36.83,0.0,0.0,2,4,44.56,36.83
55.13,41.84,36.66,0.0,0.0,2,5,44.54,36.66
50.81,44.99,28.15,33.04,0.0,3,0,39.25,33.04
50.87,44.93,28.48,33.25,0.0,3,1,39.38,33.25
51.39,45.36,28.36,37.24,0.0,3,2,40.59,37.24
50.76,45.32,29.07,37.74,0.0,3,3,40.72,37.74
50.01,45.17,30.49,39.26,0.0,3,4,41.23,39.26
49.74,46.46,29.98,39.7,0.0,3,5,41.47,39.7
46.27,37.66,29.96,31.12,49.28,4,0,38.86,49.28
47.57,38.72,30.85,30.37,51.58,4,1,39.82,51.58
47.29,38.3,30.04,31.95,51.39,4,2,39.79,51.39
48.94,39.03,31.98,33.09,52.84,4,3,41.18,52.84
48.69,37.55,33.13,32.57,54.36,4,4,41.26,54.36
49.03,37.5,32.4,31.48,55.93,4,5,41.27,55.93
