task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
69.19,0.0,0.0,0.0,0.0,0,0,13.838,69.19,0.0
68.974,0.0,0.0,0.0,0.0,0,1,13.7948,68.974,0.21599999999999397
56.989999999999995,44.412,0.0,0.0,0.0,1,0,20.280399999999997,50.70099999999999,12.200000000000003
56.402,45.504000000000005,0.0,0.0,0.0,1,1,20.3812,50.953,5.847999999999995
47.486000000000004,43.04600000000001,37.95,0.0,0.0,2,0,25.696400000000004,42.82733333333334,12.080999999999996
47.604,41.062,39.04,0.0,0.0,2,1,25.541199999999996,42.568666666666665,8.31266666666667
48.827999999999996,41.596000000000004,25.812,28.992,0.0,3,0,29.0456,36.307,12.499333333333334
48.218,40.798,25.478,31.344,0.0,3,1,29.1676,36.4595,9.221999999999998
52.815999999999995,40.254000000000005,29.812,20.788,37.477999999999994,4,0,36.22959999999999,36.22959999999999,10.352
52.19,37.275999999999996,27.326,19.182,44.384,4,1,36.071600000000004,36.071600000000004,8.439600000000002
