task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.92,0.0,0.0,0.0,0.0,0,0,72.92,72.92
73.79,0.0,0.0,0.0,0.0,0,1,73.79,73.79
73.88,0.0,0.0,0.0,0.0,0,2,73.88,73.88
73.5,0.0,0.0,0.0,0.0,0,3,73.5,73.5
73.35,0.0,0.0,0.0,0.0,0,4,73.35,73.35
72.76,0.0,0.0,0.0,0.0,0,5,72.76,72.76
53.71,62.21,0.0,0.0,0.0,1,0,57.96,62.21
52.26,63.13,0.0,0.0,0.0,1,1,57.7,63.13
53.35,62.88,0.0,0.0,0.0,1,2,58.12,62.88
53.38,62.36,0.0,0.0,0.0,1,3,57.87,62.36
52.73,62.84,0.0,0.0,0.0,1,4,57.78,62.84
52.7,63.09,0.0,0.0,0.0,1,5,57.9,63.09
52.86,43.79,42.51,0.0,0.0,2,0,46.39,42.51
51.87,43.3,42.12,0.0,0.0,2,1,45.76,42.12
51.65,43.11,42.19,0.0,0.0,2,2,45.65,42.19
52.05,43.62,40.87,0.0,0.0,2,3,45.51,40.87
52.7,43.62,40.05,0.0,0.0,2,4,45.46,40.05
55.07,43.47,45.87,0.0,0.0,2,5,48.14,45.87
53.55,46.63,32.2,36.88,0.0,3,0,42.32,36.88
52.21,44.37,28.31,41.12,0.0,3,1,41.5,41.12
52.76,45.05,30.18,41.35,0.0,3,2,42.34,41.35
53.27,44.9,29.82,41.31,0.0,3,3,42.32,41.31
53.56,45.65,29.99,43.35,0.0,3,4,43.14,43.35
53.12,45.56,29.89,44.59,0.0,3,5,43.29,44.59
49.11,40.37,35.63,33.49,48.2,4,0,41.36,48.2
48.37,40.07,31.87,31.11,55.31,4,1,41.35,55.31
49.09,37.58,33.78,28.46,58.13,4,2,41.41,58.13
49.68,37.47,33.94,28.6,58.2,4,3,41.58,58.2
49.8,37.76,34.59,29.09,57.65,4,4,41.78,57.65
49.34,37.25,34.1,29.49,58.94,4,5,41.82,58.94
