task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
69.19,0.0,0.0,0.0,0.0,0,0,13.838,69.19,0.0
68.974,0.0,0.0,0.0,0.0,0,1,13.7948,68.974,0.21599999999999397
68.988,0.0,0.0,0.0,0.0,0,2,13.7976,68.988,0.20199999999999818
68.444,0.0,0.0,0.0,0.0,0,3,13.6888,68.444,0.7459999999999951
68.01599999999999,0.0,0.0,0.0,0.0,0,4,13.603199999999998,68.01599999999999,1.1740000000000066
58.652,48.844,0.0,0.0,0.0,1,0,21.499200000000002,53.748000000000005,10.537999999999997
60.964,49.398,0.0,0.0,0.0,1,1,22.0724,55.181,3.8359999999999985
61.028,49.544,0.0,0.0,0.0,1,2,22.1144,55.286,4.008000000000003
61.376,49.148,0.0,0.0,0.0,1,3,22.1048,55.262,4.104999999999997
61.666,48.745999999999995,0.0,0.0,0.0,1,4,22.0824,55.205999999999996,4.161000000000001
55.288,33.352,41.477999999999994,0.0,0.0,2,0,26.0236,43.37266666666667,15.047
55.286,34.218,42.448,0.0,0.0,2,1,26.3904,43.984,9.419999999999995
55.525999999999996,34.736000000000004,41.74400000000001,0.0,0.0,2,2,26.4012,44.002,9.72533333333333
55.846000000000004,35.334,40.998000000000005,0.0,0.0,2,3,26.4356,44.059333333333335,9.667999999999994
56.112,35.678,40.28,0.0,0.0,2,4,26.413999999999998,44.02333333333333,9.703999999999999
53.534000000000006,39.866,25.116,32.194,0.0,3,0,30.142000000000003,37.6775,14.221999999999996
54.529999999999994,38.154,22.528,34.001999999999995,0.0,3,1,29.8428,37.3035,11.040500000000002
54.73,38.376,22.618000000000002,33.42,0.0,3,2,29.8288,37.286,11.509999999999998
54.944,38.658,22.832,32.834,0.0,3,3,29.8536,37.317,11.478999999999996
55.104,38.338,24.212,32.94,0.0,3,4,30.1188,37.6485,11.147499999999997
51.952,32.888,26.381999999999998,22.744,40.242000000000004,4,0,34.84160000000001,34.84160000000001,15.304499999999999
51.196,31.422000000000004,26.782,21.866,43.141999999999996,4,1,34.8816,34.8816,12.2036
51.714,31.624000000000002,26.304000000000002,22.756,43.074,4,2,35.09439999999999,35.09439999999999,12.570799999999997
51.702,31.624000000000002,26.526,22.796,42.464,4,3,35.0224,35.0224,12.642799999999998
52.592000000000006,34.162,28.482,26.654000000000003,45.65,4,4,37.508,37.508,10.157199999999996
