task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.92,0.0,0.0,0.0,0.0,0,0,72.92,72.92
73.79,0.0,0.0,0.0,0.0,0,1,73.79,73.79
73.88,0.0,0.0,0.0,0.0,0,2,73.88,73.88
73.5,0.0,0.0,0.0,0.0,0,3,73.5,73.5
73.35,0.0,0.0,0.0,0.0,0,4,73.35,73.35
72.76,0.0,0.0,0.0,0.0,0,5,72.76,72.76
53.71,62.21,0.0,0.0,0.0,1,0,57.96,62.21
52.34,62.89,0.0,0.0,0.0,1,1,57.62,62.89
53.55,62.07,0.0,0.0,0.0,1,2,57.81,62.07
53.13,61.93,0.0,0.0,0.0,1,3,57.53,61.93
53.27,62.7,0.0,0.0,0.0,1,4,57.98,62.7
53.17,62.65,0.0,0.0,0.0,1,5,57.91,62.65
52.47,43.3,41.69,0.0,0.0,2,0,45.82,41.69
52.92,43.36,42.64,0.0,0.0,2,1,46.31,42.64
53.08,43.18,43.49,0.0,0.0,2,2,46.58,43.49
54.24,43.69,42.17,0.0,0.0,2,3,46.7,42.17
53.39,44.39,42.31,0.0,0.0,2,4,46.7,42.31
53.81,43.67,41.87,0.0,0.0,2,5,46.45,41.87
51.82,47.19,27.92,35.27,0.0,3,0,40.55,35.27
52.03,45.09,25.08,39.64,0.0,3,1,40.46,39.64
51.78,46.04,25.18,40.46,0.0,3,2,40.86,40.46
52.13,45.36,25.58,40.63,0.0,3,3,40.93,40.63
52.42,46.77,27.63,40.22,0.0,3,4,41.76,40.22
52.94,46.29,26.34,41.18,0.0,3,5,41.69,41.18
47.22,40.44,31.57,30.46,50.23,4,0,39.98,50.23
48.86,38.39,31.51,30.19,56.64,4,1,41.12,56.64
47.64,37.96,28.78,28.85,58.86,4,2,40.42,58.86
49.68,37.31,31.72,29.96,58.44,4,3,41.42,58.44
49.28,37.15,30.76,29.27,59.46,4,4,41.18,59.46
49.14,36.98,30.22,30.48,60.32,4,5,41.43,60.32
