run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,78.0,0.0,0.0
0,0,2,84.4,0.0,0.0
0,1,0,1.68,94.29,0.0
0,1,1,0.56,95.93,0.0
0,1,2,35.24,93.61,0.0
0,2,0,49.72,73.57,62.66
0,2,1,38.05,78.22,77.52
0,2,2,79.46,67.57,75.95
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,96.79,0.0,0.0
1,1,0,2.79,100.0,0.0
1,1,1,92.97,99.91,0.0
1,1,2,69.7,100.0,0.0
1,2,0,50.47,58.09,80.46
1,2,1,60.19,72.59,85.73
1,2,2,65.87,73.53,89.9
2,0,0,99.16,0.0,0.0
2,0,1,99.16,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,92.96,34.75,0.0
2,1,1,89.5,68.56,0.0
2,1,2,91.28,85.01,0.0
2,2,0,42.23,28.44,93.48
2,2,1,44.33,29.37,93.09
2,2,2,14.5,61.63,97.57
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,100.0,12.34,0.0
3,1,1,98.5,71.94,0.0
3,1,2,99.91,74.89,0.0
3,2,0,98.04,83.08,34.82
3,2,1,53.88,68.67,91.27
3,2,2,64.83,54.37,94.8
4,0,0,74.15,0.0,0.0
4,0,1,88.52,0.0,0.0
4,0,2,94.42,0.0,0.0
4,1,0,44.67,97.28,0.0
4,1,1,91.52,99.81,0.0
4,1,2,70.94,99.32,0.0
4,2,0,71.77,70.53,75.0
4,2,1,59.15,63.23,94.64
4,2,2,56.26,66.63,90.55
