run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,0.0,95.26,0.0
0,1,1,0.0,93.61,0.0
0,1,2,0.0,95.84,0.0
0,2,0,61.5,44.34,63.54
0,2,1,62.63,66.41,84.46
0,2,2,54.66,67.18,84.36
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,48.81,0.0,0.0
1,1,0,2.17,100.0,0.0
1,1,1,4.65,100.0,0.0
1,1,2,4.24,100.0,0.0
1,2,0,50.57,69.5,64.22
1,2,1,46.23,62.86,75.96
1,2,2,35.57,66.88,88.8
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,88.87,26.27,0.0
2,1,1,86.87,81.39,0.0
2,1,2,85.29,91.11,0.0
2,2,0,5.46,73.11,93.39
2,2,1,12.18,91.93,89.69
2,2,2,46.11,68.98,95.91
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,100.0,12.99,0.0
3,1,1,90.74,56.99,0.0
3,1,2,99.91,79.48,0.0
3,2,0,99.91,93.12,26.3
3,2,1,90.55,89.85,65.07
3,2,2,87.65,73.14,83.89
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,2.17,100.0,0.0
4,1,1,51.4,99.9,0.0
4,1,2,52.84,99.9,0.0
4,2,0,63.08,79.77,65.65
4,2,1,37.75,69.36,87.08
4,2,2,64.63,62.16,92.54
