run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,72.17,83.16,0.0
0,1,1,71.94,84.61,0.0
0,1,2,64.31,87.42,0.0
0,2,0,54.32,76.96,79.67
0,2,1,52.64,69.02,78.59
0,2,2,48.15,52.86,81.43
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,97.1,0.0,0.0
1,1,0,85.63,95.04,0.0
1,1,1,91.31,100.0,0.0
1,1,2,77.04,100.0,0.0
1,2,0,14.27,45.28,96.71
1,2,1,5.69,43.03,97.26
1,2,2,7.76,43.03,97.26
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,80.67,46.85,0.0
2,1,1,79.73,80.66,0.0
2,1,2,73.63,89.25,0.0
2,2,0,8.19,66.6,84.14
2,2,1,7.88,70.42,87.84
2,2,2,26.26,85.52,91.54
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.53,62.88,0.0
3,1,1,86.72,77.4,0.0
3,1,2,88.96,80.35,0.0
3,2,0,85.41,25.55,77.75
3,2,1,56.69,0.0,96.57
3,2,2,55.29,0.0,97.4
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,77.56,99.9,0.0
4,1,1,34.23,99.42,0.0
4,1,2,27.71,99.9,0.0
4,2,0,8.69,52.24,97.27
4,2,1,22.03,52.24,97.27
4,2,2,28.13,52.24,95.06
