run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,0.0,95.26,0.0
0,1,1,0.0,95.93,0.0
0,1,2,21.44,100.0,0.0
0,2,0,58.02,80.25,72.14
0,2,1,16.16,95.64,82.21
0,2,2,40.52,85.29,74.68
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,97.1,0.0,0.0
1,1,0,4.55,96.91,0.0
1,1,1,51.29,99.81,0.0
1,1,2,55.84,99.91,0.0
1,2,0,50.88,84.66,73.98
1,2,1,49.12,87.0,77.17
1,2,2,62.56,78.2,93.74
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,88.87,26.27,0.0
2,1,1,88.24,87.28,0.0
2,1,2,85.71,91.52,0.0
2,2,0,39.39,78.9,78.11
2,2,1,18.28,92.66,93.39
2,2,2,19.96,66.7,92.7
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,100.0,12.88,0.0
3,1,1,97.19,69.87,0.0
3,1,2,92.61,85.48,0.0
3,2,0,91.21,63.97,41.89
3,2,1,87.75,65.72,79.63
3,2,2,87.93,66.27,79.42
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,2.17,100.0,0.0
4,1,1,65.87,99.42,0.0
4,1,2,31.13,100.0,0.0
4,2,0,61.74,93.48,38.97
4,2,1,51.19,64.4,84.56
4,2,2,55.02,65.56,84.56
