run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,0.0,95.26,0.0
0,1,1,0.0,96.03,0.0
0,1,2,6.51,100.0,0.0
0,2,0,39.62,68.05,68.62
0,2,1,67.0,68.64,83.19
0,2,2,66.33,74.15,83.58
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,97.1,0.0,0.0
1,1,0,4.55,96.91,0.0
1,1,1,73.63,99.91,0.0
1,1,2,58.74,100.0,0.0
1,2,0,38.78,80.64,68.72
1,2,1,67.43,58.19,85.84
1,2,2,58.43,63.8,92.76
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,88.87,26.27,0.0
2,1,1,75.53,88.93,0.0
2,1,2,63.76,95.14,0.0
2,2,0,24.37,71.15,82.49
2,2,1,17.54,88.0,96.98
2,2,2,6.93,84.07,97.67
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,100.0,12.99,0.0
3,1,1,97.29,78.28,0.0
3,1,2,93.92,89.3,0.0
3,2,0,91.96,87.77,26.09
3,2,1,83.91,57.75,88.77
3,2,2,83.54,57.64,90.33
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,2.17,100.0,0.0
4,1,1,58.22,99.9,0.0
4,1,2,59.77,99.51,0.0
4,2,0,61.22,61.48,67.44
4,2,1,56.57,78.79,74.37
4,2,2,55.12,74.81,93.28
