run,task,cycle,task_1,task_2,task_3
0,0,0,50.28,0.0,0.0
0,0,1,62.51,0.0,0.0
0,0,2,86.2,0.0,0.0
0,1,0,69.92,85.09,0.0
0,1,1,10.33,99.61,0.0
0,1,2,14.25,100.0,0.0
0,2,0,31.31,96.81,77.52
0,2,1,33.56,99.32,76.83
0,2,2,30.75,99.42,75.27
1,0,0,37.75,0.0,0.0
1,0,1,88.73,0.0,0.0
1,0,2,96.28,0.0,0.0
1,1,0,69.08,98.04,0.0
1,1,1,81.7,99.72,0.0
1,1,2,80.46,99.72,0.0
1,2,0,55.43,49.95,96.05
1,2,1,56.98,49.95,96.49
1,2,2,66.49,49.2,96.93
2,0,0,99.16,0.0,0.0
2,0,1,99.89,0.0,0.0
2,0,2,99.68,0.0,0.0
2,1,0,78.15,73.32,0.0
2,1,1,74.26,88.31,0.0
2,1,2,69.75,88.73,0.0
2,2,0,62.92,82.21,88.52
2,2,1,44.12,76.22,97.76
2,2,2,42.54,76.73,97.57
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,98.88,63.43,0.0
3,1,1,92.33,78.28,0.0
3,1,2,96.91,91.48,0.0
3,2,0,85.5,72.82,72.25
3,2,1,74.28,29.8,95.22
3,2,2,47.52,69.43,96.88
4,0,0,81.18,0.0,0.0
4,0,1,81.49,0.0,0.0
4,0,2,96.38,0.0,0.0
4,1,0,95.04,93.09,0.0
4,1,1,79.42,99.51,0.0
4,1,2,96.07,97.86,0.0
4,2,0,44.57,65.47,96.85
4,2,1,68.46,50.88,97.69
4,2,2,67.84,54.47,99.79
