run,task,cycle,task_1,task_2,task_3
0,0,0,61.62,0.0,0.0
0,0,1,75.31,0.0,0.0
0,0,2,90.8,0.0,0.0
0,1,0,29.97,98.16,0.0
0,1,1,5.61,98.26,0.0
0,1,2,4.6,100.0,0.0
0,2,0,24.47,69.02,73.41
0,2,1,17.85,53.73,78.3
0,2,2,27.27,64.57,78.59
1,0,0,63.7,0.0,0.0
1,0,1,95.24,0.0,0.0
1,0,2,89.35,0.0,0.0
1,1,0,84.9,100.0,0.0
1,1,1,79.83,100.0,0.0
1,1,2,44.16,100.0,0.0
1,2,0,10.86,37.89,99.78
1,2,1,19.96,38.91,99.78
1,2,2,33.71,40.79,99.89
2,0,0,99.37,0.0,0.0
2,0,1,98.11,0.0,0.0
2,0,2,100.0,0.0,0.0
2,1,0,57.35,82.42,0.0
2,1,1,56.2,90.9,0.0
2,1,2,55.04,93.38,0.0
2,2,0,28.57,94.42,92.32
2,2,1,41.81,93.69,92.22
2,2,2,44.64,93.07,91.34
3,0,0,99.91,0.0,0.0
3,0,1,99.72,0.0,0.0
3,0,2,97.47,0.0,0.0
3,1,0,96.07,66.81,0.0
3,1,1,97.1,77.95,0.0
3,1,2,95.79,83.52,0.0
3,2,0,45.74,12.01,95.74
3,2,1,46.4,35.37,93.87
3,2,2,49.39,38.76,96.99
4,0,0,49.43,0.0,0.0
4,0,1,89.25,0.0,0.0
4,0,2,95.45,0.0,0.0
4,1,0,51.29,97.37,0.0
4,1,1,36.4,97.28,0.0
4,1,2,55.33,98.64,0.0
4,2,0,19.54,52.24,99.68
4,2,1,33.92,70.33,97.69
4,2,2,26.68,59.82,100.0
