run,task,cycle,task_1,task_2,task_3
0,0,0,61.62,0.0,0.0
0,0,1,75.31,0.0,0.0
0,0,2,90.8,0.0,0.0
0,1,0,29.97,98.16,0.0
0,1,1,8.19,100.0,0.0
0,1,2,5.05,99.81,0.0
0,2,0,17.28,80.93,78.59
0,2,1,27.16,93.42,78.89
0,2,2,26.37,93.22,78.89
1,0,0,63.7,0.0,0.0
1,0,1,95.24,0.0,0.0
1,0,2,89.35,0.0,0.0
1,1,0,85.32,100.0,0.0
1,1,1,80.25,100.0,0.0
1,1,2,50.47,100.0,0.0
1,2,0,57.6,43.03,79.25
1,2,1,61.12,51.26,92.97
1,2,2,41.57,52.95,96.38
2,0,0,99.37,0.0,0.0
2,0,1,98.11,0.0,0.0
2,0,2,100.0,0.0,0.0
2,1,0,65.65,83.45,0.0
2,1,1,55.15,91.21,0.0
2,1,2,55.04,94.93,0.0
2,2,0,25.21,92.35,91.93
2,2,1,0.11,70.94,97.67
2,2,2,30.15,87.8,95.33
3,0,0,99.91,0.0,0.0
3,0,1,99.72,0.0,0.0
3,0,2,97.47,0.0,0.0
3,1,0,97.94,77.51,0.0
3,1,1,97.94,88.1,0.0
3,1,2,84.38,89.52,0.0
3,2,0,45.09,87.55,80.87
3,2,1,55.1,39.41,83.16
3,2,2,34.71,21.07,97.19
4,0,0,49.43,0.0,0.0
4,0,1,89.25,0.0,0.0
4,0,2,95.45,0.0,0.0
4,1,0,51.09,97.47,0.0
4,1,1,40.02,97.37,0.0
4,1,2,29.06,100.0,0.0
4,2,0,25.34,71.4,96.32
4,2,1,32.78,69.46,98.32
4,2,2,24.51,68.39,99.37
