run,task,cycle,task_1,task_2,task_3
0,0,0,50.28,0.0,0.0
0,0,1,84.4,0.0,0.0
0,0,2,85.3,0.0,0.0
0,1,0,75.31,81.32,0.0
0,1,1,7.41,97.1,0.0
0,1,2,10.33,96.9,0.0
0,2,0,72.05,86.83,78.01
0,2,1,70.03,96.81,78.01
0,2,2,58.02,95.45,79.96
1,0,0,37.75,0.0,0.0
1,0,1,59.77,0.0,0.0
1,0,2,94.0,0.0,0.0
1,1,0,94.31,99.91,0.0
1,1,1,90.69,99.81,0.0
1,1,2,80.56,100.0,0.0
1,2,0,54.08,76.05,96.71
1,2,1,60.29,56.41,96.6
1,2,2,67.01,56.41,96.49
2,0,0,99.16,0.0,0.0
2,0,1,99.47,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,79.41,73.32,0.0
2,1,1,82.88,84.07,0.0
2,1,2,65.34,94.52,0.0
2,2,0,51.26,94.0,90.27
2,2,1,42.12,96.79,93.19
2,2,2,25.11,80.35,95.23
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,93.08,79.69,0.0
3,1,1,93.64,80.35,0.0
3,1,2,91.58,87.88,0.0
3,2,0,77.08,67.36,86.9
3,2,1,58.93,50.66,95.01
3,2,2,65.29,43.45,94.39
4,0,0,81.18,0.0,0.0
4,0,1,87.18,0.0,0.0
4,0,2,96.9,0.0,0.0
4,1,0,86.56,97.47,0.0
4,1,1,76.42,99.51,0.0
4,1,2,70.84,99.9,0.0
4,2,0,48.6,52.24,92.54
4,2,1,55.12,66.83,98.21
4,2,2,68.46,71.3,97.79
