run,task,cycle,task_1,task_2,task_3
0,0,0,90.01,0.0,0.0
0,0,1,91.13,0.0,0.0
0,0,2,90.68,0.0,0.0
0,0,3,93.38,0.0,0.0
0,0,4,96.18,0.0,0.0
0,0,5,96.07,0.0,0.0
0,0,6,96.18,0.0,0.0
0,0,7,96.18,0.0,0.0
0,0,8,96.18,0.0,0.0
0,0,9,96.18,0.0,0.0
0,1,0,63.41,99.42,0.0
0,1,1,63.75,99.71,0.0
0,1,2,65.54,99.71,0.0
0,1,3,69.25,98.06,0.0
0,1,4,69.92,98.06,0.0
0,1,5,70.82,98.06,0.0
0,1,6,71.94,98.06,0.0
0,1,7,72.95,97.97,0.0
0,1,8,73.74,97.97,0.0
0,1,9,74.52,97.97,0.0
0,2,0,91.58,95.93,82.5
0,2,1,89.56,97.0,82.01
0,2,2,89.23,96.13,83.19
0,2,3,89.0,96.22,82.5
0,2,4,88.66,94.97,83.58
0,2,5,88.78,95.16,84.26
0,2,6,90.46,95.26,82.7
0,2,7,88.66,96.13,81.82
0,2,8,88.78,96.13,80.94
0,2,9,88.44,96.32,82.31
1,0,0,99.07,0.0,0.0
1,0,1,99.17,0.0,0.0
1,0,2,98.76,0.0,0.0
1,0,3,98.86,0.0,0.0
1,0,4,98.86,0.0,0.0
1,0,5,98.97,0.0,0.0
1,0,6,95.97,0.0,0.0
1,0,7,96.79,0.0,0.0
1,0,8,96.48,0.0,0.0
1,0,9,96.69,0.0,0.0
1,1,0,98.55,99.63,0.0
1,1,1,98.45,99.63,0.0
1,1,2,98.45,99.63,0.0
1,1,3,98.45,99.63,0.0
1,1,4,99.79,99.81,0.0
1,1,5,99.69,99.81,0.0
1,1,6,99.69,99.81,0.0
1,1,7,99.69,99.81,0.0
1,1,8,99.69,99.81,0.0
1,1,9,99.69,99.81,0.0
1,2,0,61.12,76.43,95.06
1,2,1,94.52,80.73,92.97
1,2,2,93.07,78.11,93.74
1,2,3,93.28,78.48,93.63
1,2,4,93.49,78.77,93.63
1,2,5,93.59,78.95,93.52
1,2,6,93.9,79.23,93.41
1,2,7,94.11,79.14,93.41
1,2,8,94.21,79.23,93.41
1,2,9,94.52,79.51,93.41
2,0,0,99.47,0.0,0.0
2,0,1,99.68,0.0,0.0
2,0,2,99.68,0.0,0.0
2,0,3,99.68,0.0,0.0
2,0,4,99.47,0.0,0.0
2,0,5,99.58,0.0,0.0
2,0,6,99.58,0.0,0.0
2,0,7,99.68,0.0,0.0
2,0,8,99.68,0.0,0.0
2,0,9,99.89,0.0,0.0
2,1,0,92.12,88.21,0.0
2,1,1,91.91,90.18,0.0
2,1,2,91.91,90.18,0.0
2,1,3,94.75,89.87,0.0
2,1,4,93.17,91.21,0.0
2,1,5,94.43,91.93,0.0
2,1,6,94.33,92.45,0.0
2,1,7,94.54,92.35,0.0
2,1,8,94.96,92.76,0.0
2,1,9,92.44,95.45,0.0
2,2,0,50.63,95.45,94.36
2,2,1,48.0,95.76,94.65
2,2,2,51.16,95.55,94.46
2,2,3,53.89,95.55,93.68
2,2,4,56.62,95.45,93.58
2,2,5,57.56,95.55,93.58
2,2,6,60.92,95.45,93.29
2,2,7,63.13,95.45,92.7
2,2,8,61.87,92.35,96.5
2,2,9,62.92,92.35,96.3
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,0,5,100.0,0.0,0.0
3,0,6,100.0,0.0,0.0
3,0,7,100.0,0.0,0.0
3,0,8,100.0,0.0,0.0
3,0,9,100.0,0.0,0.0
3,1,0,99.81,97.27,0.0
3,1,1,99.81,98.14,0.0
3,1,2,99.81,98.14,0.0
3,1,3,99.72,98.8,0.0
3,1,4,99.72,98.58,0.0
3,1,5,99.72,98.91,0.0
3,1,6,99.72,99.02,0.0
3,1,7,99.81,99.24,0.0
3,1,8,99.81,99.24,0.0
3,1,9,99.81,99.24,0.0
3,2,0,74.65,95.63,93.35
3,2,1,75.77,95.74,92.52
3,2,2,73.99,94.87,94.91
3,2,3,75.68,88.97,94.8
3,2,4,75.87,88.86,94.7
3,2,5,76.43,88.76,94.28
3,2,6,78.95,93.56,93.76
3,2,7,77.64,91.27,93.97
3,2,8,78.39,91.27,93.87
3,2,9,78.39,91.48,93.76
4,0,0,98.14,0.0,0.0
4,0,1,95.55,0.0,0.0
4,0,2,94.52,0.0,0.0
4,0,3,94.62,0.0,0.0
4,0,4,94.62,0.0,0.0
4,0,5,94.52,0.0,0.0
4,0,6,94.83,0.0,0.0
4,0,7,94.62,0.0,0.0
4,0,8,94.42,0.0,0.0
4,0,9,94.31,0.0,0.0
4,1,0,83.45,97.57,0.0
4,1,1,85.83,97.47,0.0
4,1,2,87.38,97.37,0.0
4,1,3,88.42,97.37,0.0
4,1,4,88.83,97.37,0.0
4,1,5,89.14,97.37,0.0
4,1,6,96.07,99.12,0.0
4,1,7,95.86,99.22,0.0
4,1,8,95.86,99.22,0.0
4,1,9,95.97,99.22,0.0
4,2,0,89.25,77.92,96.53
4,2,1,89.35,80.06,97.27
4,2,2,89.45,80.45,97.16
4,2,3,88.73,76.65,97.27
4,2,4,88.83,77.14,97.37
4,2,5,88.83,78.21,97.06
4,2,6,88.83,78.79,97.06
4,2,7,88.83,80.06,97.06
4,2,8,88.83,80.54,97.06
4,2,9,88.83,81.13,97.06
