run,task,cycle,task_1,task_2,task_3
0,0,0,90.01,0.0,0.0
0,0,1,91.13,0.0,0.0
0,0,2,90.68,0.0,0.0
0,0,3,93.38,0.0,0.0
0,0,4,96.18,0.0,0.0
0,1,0,68.91,96.22,0.0
0,1,1,69.02,96.32,0.0
0,1,2,71.72,96.03,0.0
0,1,3,72.62,96.03,0.0
0,1,4,73.96,96.03,0.0
0,2,0,87.77,93.22,83.38
0,2,1,93.6,92.26,78.49
0,2,2,93.6,92.06,79.86
0,2,3,93.04,90.71,82.89
0,2,4,93.27,90.9,82.7
1,0,0,99.07,0.0,0.0
1,0,1,99.17,0.0,0.0
1,0,2,98.76,0.0,0.0
1,0,3,98.86,0.0,0.0
1,0,4,98.86,0.0,0.0
1,1,0,95.66,99.81,0.0
1,1,1,95.76,99.81,0.0
1,1,2,95.76,99.81,0.0
1,1,3,95.86,99.72,0.0
1,1,4,95.86,99.53,0.0
1,2,0,84.18,87.18,87.93
1,2,1,92.04,82.88,93.08
1,2,2,92.04,82.97,92.43
1,2,3,92.04,83.35,92.43
1,2,4,92.14,83.91,92.43
2,0,0,99.47,0.0,0.0
2,0,1,99.68,0.0,0.0
2,0,2,99.68,0.0,0.0
2,0,3,99.68,0.0,0.0
2,0,4,99.47,0.0,0.0
2,1,0,80.57,92.55,0.0
2,1,1,93.8,92.45,0.0
2,1,2,93.8,92.35,0.0
2,1,3,92.23,95.24,0.0
2,1,4,92.33,95.35,0.0
2,2,0,80.15,91.73,88.91
2,2,1,46.74,94.31,94.84
2,2,2,47.9,94.0,94.65
2,2,3,50.11,94.0,94.65
2,2,4,52.21,93.8,94.65
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,99.53,95.74,0.0
3,1,1,99.63,95.74,0.0
3,1,2,99.91,98.69,0.0
3,1,3,99.72,99.45,0.0
3,1,4,99.72,99.45,0.0
3,2,0,77.74,83.84,93.04
3,2,1,64.08,96.07,96.05
3,2,2,66.88,95.96,96.05
3,2,3,68.01,95.85,96.05
3,2,4,69.41,95.74,96.15
4,0,0,98.14,0.0,0.0
4,0,1,95.55,0.0,0.0
4,0,2,94.52,0.0,0.0
4,0,3,94.62,0.0,0.0
4,0,4,94.62,0.0,0.0
4,1,0,88.52,97.76,0.0
4,1,1,89.25,97.67,0.0
4,1,2,89.87,96.3,0.0
4,1,3,90.38,96.11,0.0
4,1,4,90.18,96.11,0.0
4,2,0,67.01,69.94,97.69
4,2,1,69.49,69.94,97.69
4,2,2,71.98,70.14,97.69
4,2,3,89.76,70.72,97.27
4,2,4,89.87,70.82,97.16
