run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,78.0,0.0,0.0
0,0,2,84.4,0.0,0.0
0,1,0,55.67,74.73,0.0
0,1,1,57.35,85.0,0.0
0,1,2,47.36,95.16,0.0
0,2,0,34.01,97.97,80.35
0,2,1,41.75,95.84,78.3
0,2,2,47.25,92.26,76.64
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,96.79,0.0,0.0
1,1,0,82.83,92.05,0.0
1,1,1,80.66,92.89,0.0
1,1,2,79.32,92.98,0.0
1,2,0,19.03,43.31,92.76
1,2,1,24.51,44.9,92.97
1,2,2,35.16,63.24,97.15
2,0,0,99.16,0.0,0.0
2,0,1,99.16,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,78.47,68.87,0.0
2,1,1,82.04,83.76,0.0
2,1,2,82.67,88.73,0.0
2,2,0,25.63,71.35,90.18
2,2,1,31.51,73.73,89.98
2,2,2,35.5,74.46,90.37
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.72,62.12,0.0
3,1,1,98.13,76.75,0.0
3,1,2,94.39,96.07,0.0
3,2,0,82.41,28.49,91.58
3,2,1,82.51,14.52,94.49
3,2,2,65.39,7.53,96.88
4,0,0,74.15,0.0,0.0
4,0,1,88.52,0.0,0.0
4,0,2,94.42,0.0,0.0
4,1,0,74.04,99.9,0.0
4,1,1,72.08,99.71,0.0
4,1,2,66.7,99.81,0.0
4,2,0,51.29,71.21,84.56
4,2,1,31.13,36.87,95.38
4,2,2,23.06,41.44,98.74
