run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,78.0,0.0,0.0
0,0,2,84.4,0.0,0.0
0,1,0,55.67,74.73,0.0
0,1,1,20.54,91.19,0.0
0,1,2,25.48,93.8,0.0
0,2,0,26.26,94.87,79.18
0,2,1,24.35,94.68,79.37
0,2,2,25.59,95.16,78.3
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,96.79,0.0,0.0
1,1,0,71.46,91.67,0.0
1,1,1,76.32,100.0,0.0
1,1,2,74.56,99.91,0.0
1,2,0,45.92,61.65,84.19
1,2,1,57.81,58.65,88.14
1,2,2,55.53,62.3,90.45
2,0,0,99.16,0.0,0.0
2,0,1,99.16,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,75.11,72.91,0.0
2,1,1,87.08,74.04,0.0
2,1,2,79.73,87.18,0.0
2,2,0,12.71,87.28,92.32
2,2,1,13.45,88.73,88.23
2,2,2,15.23,85.63,86.96
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,98.69,62.12,0.0
3,1,1,98.88,63.54,0.0
3,1,2,94.86,78.06,0.0
3,2,0,81.48,80.13,84.41
3,2,1,82.69,81.0,81.39
3,2,2,54.63,63.43,97.09
4,0,0,74.15,0.0,0.0
4,0,1,88.52,0.0,0.0
4,0,2,94.42,0.0,0.0
4,1,0,82.73,97.08,0.0
4,1,1,59.46,99.42,0.0
4,1,2,59.77,99.61,0.0
4,2,0,34.85,70.33,90.55
4,2,1,47.88,68.58,92.96
4,2,2,38.99,75.39,92.86
