run,task,cycle,task_1,task_2,task_3
0,0,0,51.85,0.0,0.0
0,0,1,77.1,0.0,0.0
0,0,2,82.83,0.0,0.0
0,1,0,68.01,95.45,0.0
0,1,1,26.94,96.32,0.0
0,1,2,22.33,97.39,0.0
0,2,0,38.16,96.81,80.45
0,2,1,35.13,98.94,79.96
0,2,2,29.29,99.52,79.77
1,0,0,80.04,0.0,0.0
1,0,1,95.35,0.0,0.0
1,0,2,95.86,0.0,0.0
1,1,0,82.01,100.0,0.0
1,1,1,65.36,100.0,0.0
1,1,2,53.26,100.0,0.0
1,2,0,31.44,67.82,95.5
1,2,1,41.26,56.41,93.85
1,2,2,21.61,46.87,98.46
2,0,0,98.84,0.0,0.0
2,0,1,99.89,0.0,0.0
2,0,2,99.79,0.0,0.0
2,1,0,71.53,69.91,0.0
2,1,1,73.74,89.35,0.0
2,1,2,71.43,89.45,0.0
2,2,0,49.58,85.52,89.79
2,2,1,31.72,75.39,94.46
2,2,2,10.08,55.02,97.37
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.53,56.88,0.0
3,1,1,83.54,84.93,0.0
3,1,2,92.8,84.61,0.0
3,2,0,55.29,60.7,75.68
3,2,1,49.39,66.38,93.24
3,2,2,48.18,51.42,97.82
4,0,0,74.97,0.0,0.0
4,0,1,97.31,0.0,0.0
4,0,2,93.28,0.0,0.0
4,1,0,83.76,93.39,0.0
4,1,1,82.52,93.0,0.0
4,1,2,86.35,99.81,0.0
4,2,0,61.12,74.32,97.69
4,2,1,75.59,68.87,97.37
4,2,2,71.98,68.77,96.95
