run,task,cycle,task_1,task_2,task_3
0,0,0,72.28,0.0,0.0
0,0,1,81.59,0.0,0.0
0,0,2,89.34,0.0,0.0
0,0,3,90.46,0.0,0.0
0,0,4,90.91,0.0,0.0
0,1,0,72.73,78.7,0.0
0,1,1,26.6,97.87,0.0
0,1,2,24.47,97.77,0.0
0,1,3,23.79,97.68,0.0
0,1,4,23.79,97.68,0.0
0,2,0,45.79,97.68,74.49
0,2,1,52.86,98.74,82.01
0,2,2,54.43,98.45,82.21
0,2,3,76.88,94.19,80.65
0,2,4,79.12,94.0,82.11
1,0,0,82.01,0.0,0.0
1,0,1,91.52,0.0,0.0
1,0,2,94.21,0.0,0.0
1,0,3,95.86,0.0,0.0
1,0,4,90.28,0.0,0.0
1,1,0,75.39,99.63,0.0
1,1,1,73.94,100.0,0.0
1,1,2,74.15,100.0,0.0
1,1,3,74.25,100.0,0.0
1,1,4,74.15,100.0,0.0
1,2,0,27.51,56.22,97.15
1,2,1,28.85,56.69,97.26
1,2,2,30.4,57.16,97.15
1,2,3,34.95,64.08,97.15
1,2,4,65.77,65.39,97.59
2,0,0,95.9,0.0,0.0
2,0,1,97.9,0.0,0.0
2,0,2,98.21,0.0,0.0
2,0,3,98.32,0.0,0.0
2,0,4,99.47,0.0,0.0
2,1,0,90.34,76.32,0.0
2,1,1,76.16,90.38,0.0
2,1,2,74.26,90.8,0.0
2,1,3,72.27,91.62,0.0
2,1,4,67.65,93.9,0.0
2,2,0,61.97,79.32,77.63
2,2,1,53.26,91.0,95.91
2,2,2,41.81,85.01,98.35
2,2,3,31.2,86.25,99.71
2,2,4,31.62,86.56,99.71
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,99.91,55.57,0.0
3,1,1,96.54,89.74,0.0
3,1,2,97.57,90.83,0.0
3,1,3,97.57,93.78,0.0
3,1,4,97.66,98.14,0.0
3,2,0,79.89,97.16,83.16
3,2,1,83.82,79.59,90.02
3,2,2,72.31,66.81,94.07
3,2,3,67.73,60.92,95.53
3,2,4,68.57,60.81,95.53
4,0,0,94.31,0.0,0.0
4,0,1,97.21,0.0,0.0
4,0,2,99.07,0.0,0.0
4,0,3,96.07,0.0,0.0
4,0,4,97.41,0.0,0.0
4,1,0,92.24,97.57,0.0
4,1,1,88.73,95.04,0.0
4,1,2,82.11,95.14,0.0
4,1,3,81.7,95.14,0.0
4,1,4,80.77,95.14,0.0
4,2,0,42.81,69.16,94.43
4,2,1,46.74,70.72,97.48
4,2,2,76.63,66.44,96.95
4,2,3,65.56,64.4,98.84
4,2,4,60.91,68.29,97.9
