run,task,cycle,task_1,task_2,task_3
0,0,0,51.4,0.0,0.0
0,0,1,59.37,0.0,0.0
0,0,2,68.69,0.0,0.0
0,0,3,72.5,0.0,0.0
0,1,0,80.81,75.61,0.0
0,1,1,16.39,100.0,0.0
0,1,2,38.27,97.0,0.0
0,1,3,35.35,97.1,0.0
0,2,0,34.79,100.0,79.08
0,2,1,34.79,100.0,78.79
0,2,2,48.82,99.03,79.57
0,2,3,49.72,98.84,81.92
1,0,0,68.87,0.0,0.0
1,0,1,70.73,0.0,0.0
1,0,2,71.98,0.0,0.0
1,0,3,78.39,0.0,0.0
1,1,0,68.46,99.25,0.0
1,1,1,66.08,99.63,0.0
1,1,2,65.77,99.63,0.0
1,1,3,66.6,99.63,0.0
1,2,0,17.58,52.85,99.45
1,2,1,20.89,50.23,97.69
1,2,2,17.89,50.8,97.59
1,2,3,21.41,53.6,97.59
2,0,0,97.58,0.0,0.0
2,0,1,98.42,0.0,0.0
2,0,2,99.05,0.0,0.0
2,0,3,99.16,0.0,0.0
2,1,0,88.03,58.74,0.0
2,1,1,64.6,91.31,0.0
2,1,2,69.85,93.49,0.0
2,1,3,74.79,93.07,0.0
2,2,0,52.52,87.8,91.05
2,2,1,32.25,54.29,97.57
2,2,2,33.72,53.98,97.57
2,2,3,38.76,53.98,97.57
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,1,0,97.29,50.33,0.0
3,1,1,94.29,65.61,0.0
3,1,2,96.91,78.82,0.0
3,1,3,96.82,84.72,0.0
3,2,0,58.28,56.99,93.97
3,2,1,62.68,40.72,97.51
3,2,2,63.42,40.07,98.02
3,2,3,53.98,39.52,97.51
4,0,0,85.42,0.0,0.0
4,0,1,91.83,0.0,0.0
4,0,2,97.83,0.0,0.0
4,0,3,97.62,0.0,0.0
4,1,0,94.21,97.67,0.0
4,1,1,95.76,96.98,0.0
4,1,2,94.31,96.89,0.0
4,1,3,93.59,96.79,0.0
4,2,0,30.82,63.52,98.21
4,2,1,45.4,68.48,98.42
4,2,2,50.26,69.16,98.32
4,2,3,48.09,69.65,99.05
