run,task,cycle,task_1,task_2,task_3
0,0,0,51.85,0.0,0.0
0,0,1,77.1,0.0,0.0
0,0,2,88.1,0.0,0.0
0,1,0,65.43,92.35,0.0
0,1,1,24.69,96.13,0.0
0,1,2,37.04,95.16,0.0
0,2,0,86.31,78.99,77.22
0,2,1,85.97,89.35,78.79
0,2,2,84.06,83.83,78.59
1,0,0,80.04,0.0,0.0
1,0,1,95.35,0.0,0.0
1,0,2,96.17,0.0,0.0
1,1,0,86.97,100.0,0.0
1,1,1,92.35,100.0,0.0
1,1,2,85.63,100.0,0.0
1,2,0,39.19,50.23,94.4
1,2,1,23.99,50.23,96.71
1,2,2,27.3,50.23,97.15
2,0,0,98.84,0.0,0.0
2,0,1,99.89,0.0,0.0
2,0,2,99.79,0.0,0.0
2,1,0,72.37,70.32,0.0
2,1,1,54.94,88.11,0.0
2,1,2,62.39,91.62,0.0
2,2,0,41.81,63.7,90.18
2,2,1,42.23,62.36,89.69
2,2,2,13.13,47.98,95.14
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,96.07,40.39,0.0
3,1,1,89.8,56.88,0.0
3,1,2,87.37,82.75,0.0
3,2,0,19.64,35.04,82.74
3,2,1,59.68,41.81,85.14
3,2,2,52.29,38.43,90.33
4,0,0,74.97,0.0,0.0
4,0,1,97.31,0.0,0.0
4,0,2,98.35,0.0,0.0
4,1,0,91.21,95.14,0.0
4,1,1,93.38,99.51,0.0
4,1,2,92.35,99.61,0.0
4,2,0,80.46,43.97,91.7
4,2,1,77.97,7.59,93.8
4,2,2,77.87,6.23,95.17
