run,task,cycle,task_1,task_2,task_3
0,0,0,51.85,0.0,0.0
0,0,1,77.1,0.0,0.0
0,0,2,88.1,0.0,0.0
0,1,0,65.43,92.35,0.0
0,1,1,48.48,96.61,0.0
0,1,2,38.61,99.52,0.0
0,2,0,43.77,96.32,79.77
0,2,1,41.08,97.77,78.2
0,2,2,58.25,96.9,83.09
1,0,0,80.04,0.0,0.0
1,0,1,95.35,0.0,0.0
1,0,2,96.17,0.0,0.0
1,1,0,92.45,100.0,0.0
1,1,1,91.31,100.0,0.0
1,1,2,65.98,100.0,0.0
1,2,0,48.29,79.61,90.01
1,2,1,47.98,57.53,94.51
1,2,2,47.88,55.1,97.04
2,0,0,98.84,0.0,0.0
2,0,1,99.89,0.0,0.0
2,0,2,99.79,0.0,0.0
2,1,0,72.48,70.42,0.0
2,1,1,71.74,89.25,0.0
2,1,2,73.32,95.04,0.0
2,2,0,51.58,84.8,92.41
2,2,1,53.36,84.18,97.47
2,2,2,34.45,92.86,97.47
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,97.94,50.33,0.0
3,1,1,99.16,79.59,0.0
3,1,2,98.6,93.01,0.0
3,2,0,68.48,73.36,76.61
3,2,1,61.83,70.09,93.04
3,2,2,64.92,71.4,91.27
4,0,0,74.97,0.0,0.0
4,0,1,97.31,0.0,0.0
4,0,2,98.35,0.0,0.0
4,1,0,91.11,95.14,0.0
4,1,1,92.24,97.57,0.0
4,1,2,91.31,99.61,0.0
4,2,0,74.15,86.19,85.08
4,2,1,69.8,64.01,93.28
4,2,2,72.29,75.88,90.13
