run,task,cycle,task_1,task_2,task_3
0,0,0,89.67,0.0,0.0
0,0,1,89.07,0.0,0.0
0,0,2,92.37,0.0,0.0
0,0,3,92.07,0.0,0.0
0,0,4,92.96,0.0,0.0
0,1,0,89.22,93.48,0.0
0,1,1,84.58,94.68,0.0
0,1,2,89.97,94.88,0.0
0,1,3,90.27,96.19,0.0
0,1,4,90.42,96.49,0.0
0,2,0,91.17,93.28,83.24
0,2,1,95.66,93.98,88.21
0,2,2,92.96,93.48,89.38
0,2,3,92.96,94.28,89.77
0,2,4,91.92,94.58,89.86
1,0,0,97.79,0.0,0.0
1,0,1,97.93,0.0,0.0
1,0,2,99.17,0.0,0.0
1,0,3,98.34,0.0,0.0
1,0,4,99.17,0.0,0.0
1,1,0,97.79,95.49,0.0
1,1,1,99.03,99.62,0.0
1,1,2,99.45,99.52,0.0
1,1,3,99.45,99.62,0.0
1,1,4,98.9,99.52,0.0
1,2,0,79.31,86.86,82.12
1,2,1,90.48,93.1,88.64
1,2,2,91.03,93.19,88.54
1,2,3,89.79,90.41,90.33
1,2,4,88.69,89.45,89.38
2,0,0,96.92,0.0,0.0
2,0,1,99.72,0.0,0.0
2,0,2,99.72,0.0,0.0
2,0,3,99.72,0.0,0.0
2,0,4,99.72,0.0,0.0
2,1,0,94.26,90.34,0.0
2,1,1,96.22,95.12,0.0
2,1,2,96.64,95.64,0.0
2,1,3,97.48,94.39,0.0
2,1,4,97.9,94.91,0.0
2,2,0,72.41,90.24,92.3
2,2,1,65.27,87.75,94.27
2,2,2,69.19,87.44,94.08
2,2,3,74.65,89.72,94.08
2,2,4,75.63,90.13,94.27
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,95.51,92.98,0.0
3,1,1,99.75,97.49,0.0
3,1,2,99.75,97.7,0.0
3,1,3,99.13,97.17,0.0
3,1,4,99.25,97.28,0.0
3,2,0,74.28,89.11,95.89
3,2,1,51.81,80.42,95.79
3,2,2,52.43,80.63,95.58
3,2,3,53.56,81.47,95.58
3,2,4,56.43,81.99,95.37
4,0,0,96.0,0.0,0.0
4,0,1,99.03,0.0,0.0
4,0,2,98.9,0.0,0.0
4,0,3,98.9,0.0,0.0
4,0,4,97.93,0.0,0.0
4,1,0,97.24,94.87,0.0
4,1,1,96.55,98.82,0.0
4,1,2,96.69,97.43,0.0
4,1,3,96.97,97.43,0.0
4,1,4,96.41,97.24,0.0
4,2,0,71.72,77.39,91.97
4,2,1,88.14,79.17,91.45
4,2,2,89.52,81.24,91.45
4,2,3,89.93,80.65,91.35
4,2,4,89.93,81.05,91.45
