run,task,cycle,task_1,task_2,task_3
0,0,0,76.95,0.0,0.0
0,0,1,79.04,0.0,0.0
0,0,2,87.72,0.0,0.0
0,0,3,86.83,0.0,0.0
0,0,4,88.62,0.0,0.0
0,1,0,67.51,85.96,0.0
0,1,1,70.66,87.56,0.0
0,1,2,79.04,89.17,0.0
0,1,3,72.6,88.77,0.0
0,1,4,74.25,88.87,0.0
0,2,0,73.05,90.97,84.41
0,2,1,75.0,91.57,85.19
0,2,2,77.4,92.08,84.21
0,2,3,76.5,91.98,84.21
0,2,4,76.5,91.88,84.5
1,0,0,57.38,0.0,0.0
1,0,1,49.52,0.0,0.0
1,0,2,48.14,0.0,0.0
1,0,3,90.21,0.0,0.0
1,0,4,95.72,0.0,0.0
1,1,0,92.55,94.25,0.0
1,1,1,93.79,98.75,0.0
1,1,2,95.72,98.95,0.0
1,1,3,96.28,99.04,0.0
1,1,4,97.24,99.04,0.0
1,2,0,80.41,87.15,82.86
1,2,1,56.14,74.69,92.53
1,2,2,88.14,89.36,84.33
1,2,3,87.45,87.06,85.07
1,2,4,86.07,84.08,86.54
2,0,0,99.44,0.0,0.0
2,0,1,99.72,0.0,0.0
2,0,2,99.72,0.0,0.0
2,0,3,99.86,0.0,0.0
2,0,4,99.86,0.0,0.0
2,1,0,95.94,51.92,0.0
2,1,1,80.25,86.6,0.0
2,1,2,82.77,87.75,0.0
2,1,3,82.49,89.2,0.0
2,1,4,83.61,89.72,0.0
2,2,0,90.48,77.78,74.53
2,2,1,63.87,79.02,94.37
2,2,2,43.28,76.74,95.06
2,2,3,46.92,77.88,94.57
2,2,4,47.48,78.3,94.37
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,97.63,60.0,0.0
3,1,1,98.88,94.87,0.0
3,1,2,97.5,93.09,0.0
3,1,3,97.25,93.82,0.0
3,1,4,97.25,93.82,0.0
3,2,0,85.02,82.3,74.84
3,2,1,71.66,75.81,84.11
3,2,2,76.15,76.96,84.0
3,2,3,79.28,77.91,82.21
3,2,4,81.15,78.85,82.11
4,0,0,78.62,0.0,0.0
4,0,1,82.48,0.0,0.0
4,0,2,83.03,0.0,0.0
4,0,3,87.59,0.0,0.0
4,0,4,88.83,0.0,0.0
4,1,0,92.14,89.44,0.0
4,1,1,93.52,96.45,0.0
4,1,2,93.66,96.45,0.0
4,1,3,93.66,96.45,0.0
4,1,4,93.52,96.45,0.0
4,2,0,88.0,84.5,73.64
4,2,1,51.72,76.6,89.08
4,2,2,51.31,77.0,89.29
4,2,3,53.79,72.46,91.45
4,2,4,54.07,74.23,90.73
