run,task,cycle,task_1,task_2,task_3
0,0,0,82.78,0.0,0.0
0,0,1,84.43,0.0,0.0
0,0,2,92.66,0.0,0.0
0,0,3,93.71,0.0,0.0
0,0,4,93.86,0.0,0.0
0,1,0,85.93,93.58,0.0
0,1,1,94.46,95.19,0.0
0,1,2,90.27,93.28,0.0
0,1,3,91.32,93.68,0.0
0,1,4,95.66,94.88,0.0
0,2,0,94.76,97.59,86.84
0,2,1,93.41,97.99,89.08
0,2,2,93.86,96.59,85.67
0,2,3,93.71,96.69,85.28
0,2,4,95.21,94.88,87.82
1,0,0,99.31,0.0,0.0
1,0,1,99.17,0.0,0.0
1,0,2,99.17,0.0,0.0
1,0,3,99.72,0.0,0.0
1,0,4,98.62,0.0,0.0
1,1,0,93.66,98.37,0.0
1,1,1,99.59,99.81,0.0
1,1,2,99.72,99.9,0.0
1,1,3,99.03,99.81,0.0
1,1,4,99.03,99.81,0.0
1,2,0,91.72,86.86,79.5
1,2,1,61.24,79.0,90.43
1,2,2,92.97,86.19,90.01
1,2,3,93.24,87.34,90.33
1,2,4,87.31,87.92,91.38
2,0,0,99.02,0.0,0.0
2,0,1,97.9,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.44,0.0,0.0
2,0,4,99.44,0.0,0.0
2,1,0,96.08,90.97,0.0
2,1,1,92.3,95.22,0.0
2,1,2,97.34,95.33,0.0
2,1,3,97.2,96.26,0.0
2,1,4,98.74,96.78,0.0
2,2,0,92.86,93.56,85.39
2,2,1,56.86,85.98,96.64
2,2,2,65.83,88.79,96.05
2,2,3,70.03,90.24,96.45
2,2,4,71.57,90.65,95.85
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,99.63,0.0,0.0
3,1,0,99.5,91.94,0.0
3,1,1,100.0,95.81,0.0
3,1,2,100.0,97.17,0.0
3,1,3,100.0,99.16,0.0
3,1,4,100.0,99.27,0.0
3,2,0,58.3,81.26,92.11
3,2,1,65.67,80.42,93.79
3,2,2,67.04,83.35,94.74
3,2,3,58.68,82.83,95.26
3,2,4,57.8,82.72,95.47
4,0,0,93.66,0.0,0.0
4,0,1,97.24,0.0,0.0
4,0,2,98.21,0.0,0.0
4,0,3,98.07,0.0,0.0
4,0,4,98.21,0.0,0.0
4,1,0,94.34,96.74,0.0
4,1,1,96.28,97.43,0.0
4,1,2,96.14,97.24,0.0
4,1,3,96.41,97.24,0.0
4,1,4,99.45,97.83,0.0
4,2,0,93.1,91.81,84.24
4,2,1,91.31,80.95,92.28
4,2,2,91.86,85.78,92.17
4,2,3,91.17,88.06,92.69
4,2,4,91.17,86.97,93.31
