run,task,cycle,task_1,task_2,task_3
0,0,0,82.78,0.0,0.0
0,0,1,84.43,0.0,0.0
0,0,2,92.66,0.0,0.0
0,0,3,93.71,0.0,0.0
0,0,4,93.86,0.0,0.0
0,1,0,89.67,92.28,0.0
0,1,1,94.76,95.19,0.0
0,1,2,91.02,95.89,0.0
0,1,3,94.01,97.09,0.0
0,1,4,94.01,96.39,0.0
0,2,0,95.21,96.19,84.8
0,2,1,96.11,96.59,88.4
0,2,2,95.96,96.39,88.3
0,2,3,95.96,96.39,87.72
0,2,4,95.81,96.49,86.55
1,0,0,99.31,0.0,0.0
1,0,1,99.17,0.0,0.0
1,0,2,99.17,0.0,0.0
1,0,3,99.72,0.0,0.0
1,0,4,98.62,0.0,0.0
1,1,0,99.31,98.75,0.0
1,1,1,95.86,98.66,0.0
1,1,2,95.86,99.04,0.0
1,1,3,96.14,99.14,0.0
1,1,4,96.83,99.23,0.0
1,2,0,61.93,85.62,88.54
1,2,1,87.03,88.11,91.48
1,2,2,90.07,89.65,87.28
1,2,3,88.83,88.78,92.11
1,2,4,91.03,90.03,90.22
2,0,0,99.02,0.0,0.0
2,0,1,97.9,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.44,0.0,0.0
2,0,4,99.44,0.0,0.0
2,1,0,93.7,87.64,0.0
2,1,1,92.86,93.46,0.0
2,1,2,98.32,98.34,0.0
2,1,3,98.6,98.13,0.0
2,1,4,98.6,98.44,0.0
2,2,0,60.22,87.75,97.04
2,2,1,51.12,84.22,96.05
2,2,2,65.41,88.89,97.14
2,2,3,69.05,90.03,97.04
2,2,4,61.76,89.2,97.83
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,99.63,0.0,0.0
3,1,0,99.75,33.19,0.0
3,1,1,98.13,89.42,0.0
3,1,2,99.5,97.8,0.0
3,1,3,99.38,96.54,0.0
3,1,4,99.63,97.28,0.0
3,2,0,82.52,70.16,81.89
3,2,1,69.04,82.51,90.74
3,2,2,71.04,83.66,93.05
3,2,3,73.41,84.08,92.84
3,2,4,74.16,83.98,92.74
4,0,0,93.66,0.0,0.0
4,0,1,97.24,0.0,0.0
4,0,2,98.21,0.0,0.0
4,0,3,98.07,0.0,0.0
4,0,4,98.21,0.0,0.0
4,1,0,99.86,97.83,0.0
4,1,1,99.72,97.93,0.0
4,1,2,100.0,97.93,0.0
4,1,3,99.72,97.93,0.0
4,1,4,99.72,97.93,0.0
4,2,0,94.21,88.45,88.67
4,2,1,89.1,83.51,92.28
4,2,2,88.97,84.01,92.48
4,2,3,89.1,84.11,92.38
4,2,4,96.55,82.43,91.04
