run,task,cycle,task_1,task_2,task_3
0,0,0,51.85,0.0,0.0
0,0,1,76.99,0.0,0.0
0,0,2,90.01,0.0,0.0
0,1,0,69.25,75.8,0.0
0,1,1,14.7,97.39,0.0
0,1,2,10.1,99.81,0.0
0,2,0,40.85,51.69,81.43
0,2,1,40.18,50.24,80.45
0,2,2,66.44,90.03,82.89
1,0,0,80.04,0.0,0.0
1,0,1,86.04,0.0,0.0
1,0,2,95.14,0.0,0.0
1,1,0,87.49,100.0,0.0
1,1,1,83.25,99.91,0.0
1,1,2,81.8,100.0,0.0
1,2,0,42.09,50.23,92.65
1,2,1,29.16,47.71,96.93
1,2,2,25.23,43.22,97.37
2,0,0,98.84,0.0,0.0
2,0,1,99.37,0.0,0.0
2,0,2,100.0,0.0,0.0
2,1,0,65.02,83.04,0.0
2,1,1,70.8,94.31,0.0
2,1,2,67.23,95.76,0.0
2,2,0,36.66,92.14,85.6
2,2,1,31.93,80.56,93.77
2,2,2,35.4,85.42,96.6
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,92.05,60.48,0.0
3,1,1,83.16,75.76,0.0
3,1,2,91.21,81.77,0.0
3,2,0,3.74,26.64,88.77
3,2,1,12.82,31.11,82.12
3,2,2,64.45,49.02,96.88
4,0,0,74.97,0.0,0.0
4,0,1,91.73,0.0,0.0
4,0,2,96.07,0.0,0.0
4,1,0,88.93,95.91,0.0
4,1,1,70.73,95.04,0.0
4,1,2,72.08,95.23,0.0
4,2,0,0.0,84.24,90.23
4,2,1,39.61,63.13,99.16
4,2,2,34.64,71.01,98.0
