run,task,cycle,task_1,task_2,task_3
0,0,0,51.85,0.0,0.0
0,0,1,76.99,0.0,0.0
0,0,2,90.01,0.0,0.0
0,1,0,69.25,75.8,0.0
0,1,1,9.88,100.0,0.0
0,1,2,25.93,100.0,0.0
0,2,0,38.83,99.81,74.68
0,2,1,41.53,99.81,73.22
0,2,2,39.96,99.61,81.62
1,0,0,80.04,0.0,0.0
1,0,1,86.04,0.0,0.0
1,0,2,95.14,0.0,0.0
1,1,0,90.18,100.0,0.0
1,1,1,87.49,100.0,0.0
1,1,2,76.53,100.0,0.0
1,2,0,36.19,93.92,81.23
1,2,1,18.3,85.97,88.91
1,2,2,29.99,85.31,92.54
2,0,0,98.84,0.0,0.0
2,0,1,99.37,0.0,0.0
2,0,2,100.0,0.0,0.0
2,1,0,55.78,82.83,0.0
2,1,1,70.59,82.52,0.0
2,1,2,64.29,93.07,0.0
2,2,0,54.94,81.08,91.63
2,2,1,10.29,80.97,99.32
2,2,2,9.77,83.25,99.51
3,0,0,99.91,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,92.98,70.96,0.0
3,1,1,94.29,71.18,0.0
3,1,2,95.6,85.04,0.0
3,2,0,81.85,75.55,72.56
3,2,1,54.35,54.15,90.54
3,2,2,60.24,53.82,90.23
4,0,0,74.97,0.0,0.0
4,0,1,91.73,0.0,0.0
4,0,2,96.07,0.0,0.0
4,1,0,75.39,95.91,0.0
4,1,1,94.42,97.47,0.0
4,1,2,95.45,97.86,0.0
4,2,0,30.51,76.85,94.43
4,2,1,81.18,60.31,93.91
4,2,2,74.56,63.81,96.22
