run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,72.17,83.16,0.0
0,1,1,71.27,84.61,0.0
0,1,2,63.41,85.09,0.0
0,2,0,55.11,76.96,79.57
0,2,1,53.09,69.7,78.1
0,2,2,51.74,58.86,77.32
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,48.81,0.0,0.0
1,1,0,68.87,97.47,0.0
1,1,1,73.32,99.91,0.0
1,1,2,69.91,100.0,0.0
1,2,0,1.34,50.23,97.91
1,2,1,4.76,50.23,96.05
1,2,2,44.26,50.8,91.44
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,80.67,46.85,0.0
2,1,1,75.95,81.8,0.0
2,1,2,72.27,84.69,0.0
2,2,0,3.68,89.14,86.28
2,2,1,4.41,90.69,85.6
2,2,2,11.76,89.35,90.47
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.53,62.88,0.0
3,1,1,86.81,77.07,0.0
3,1,2,87.37,85.48,0.0
3,2,0,78.77,16.48,87.73
3,2,1,79.42,18.89,84.72
3,2,2,66.51,0.0,95.84
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,77.56,99.9,0.0
4,1,1,53.67,96.89,0.0
4,1,2,52.95,99.61,0.0
4,2,0,38.78,52.24,97.16
4,2,1,46.33,52.24,96.01
4,2,2,44.05,52.24,91.91
