run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,72.17,83.16,0.0
0,1,1,74.19,84.03,0.0
0,1,2,36.7,94.0,0.0
0,2,0,24.58,92.93,80.25
0,2,1,20.76,92.84,79.96
0,2,2,65.88,91.0,80.35
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,97.1,0.0,0.0
1,1,0,93.69,94.95,0.0
1,1,1,42.19,99.91,0.0
1,1,2,39.3,100.0,0.0
1,2,0,41.16,73.62,91.88
1,2,1,45.92,77.74,89.13
1,2,2,46.95,78.95,87.82
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,82.56,77.15,0.0
2,1,1,74.89,86.66,0.0
2,1,2,75.42,88.83,0.0
2,2,0,9.45,88.11,89.98
2,2,1,25.95,89.25,92.41
2,2,2,21.11,87.28,92.8
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.25,62.45,0.0
3,1,1,90.83,84.72,0.0
3,1,2,91.58,85.04,0.0
3,2,0,81.38,57.75,85.03
3,2,1,83.35,66.92,82.22
3,2,2,77.83,77.84,82.43
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,80.46,99.9,0.0
4,1,1,51.19,99.22,0.0
4,1,2,62.56,99.9,0.0
4,2,0,47.05,59.92,84.87
4,2,1,49.64,62.94,86.34
4,2,2,34.54,66.63,96.32
