run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,72.17,83.16,0.0
0,1,1,56.45,88.87,0.0
0,1,2,10.55,96.9,0.0
0,2,0,49.16,92.64,79.47
0,2,1,47.7,92.35,81.82
0,2,2,40.85,88.09,78.49
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,97.1,0.0,0.0
1,1,0,85.63,95.04,0.0
1,1,1,87.28,99.91,0.0
1,1,2,82.21,100.0,0.0
1,2,0,23.99,45.28,93.52
1,2,1,28.65,45.18,94.84
1,2,2,32.57,45.18,95.94
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,80.67,46.85,0.0
2,1,1,90.55,79.94,0.0
2,1,2,58.93,83.66,0.0
2,2,0,9.24,86.56,84.73
2,2,1,19.54,86.14,91.44
2,2,2,23.21,87.18,91.34
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.53,62.88,0.0
3,1,1,93.64,70.2,0.0
3,1,2,92.89,84.28,0.0
3,2,0,81.57,27.4,84.72
3,2,1,60.9,26.31,92.0
3,2,2,77.83,14.19,92.72
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,77.56,99.9,0.0
4,1,1,34.23,99.42,0.0
4,1,2,28.23,99.9,0.0
4,2,0,6.51,52.24,97.16
4,2,1,16.44,52.24,97.16
4,2,2,22.75,52.24,95.9
