run,task,cycle,task_1,task_2,task_3
0,0,0,64.65,0.0,0.0
0,0,1,86.53,0.0,0.0
0,0,2,84.74,0.0,0.0
0,1,0,72.17,83.16,0.0
0,1,1,12.12,96.61,0.0
0,1,2,14.7,96.22,0.0
0,2,0,52.97,97.1,79.08
0,2,1,55.44,96.52,79.08
0,2,2,58.92,95.84,78.98
1,0,0,47.16,0.0,0.0
1,0,1,49.22,0.0,0.0
1,0,2,97.1,0.0,0.0
1,1,0,93.69,94.95,0.0
1,1,1,56.36,99.91,0.0
1,1,2,62.77,100.0,0.0
1,2,0,55.53,72.31,90.23
1,2,1,48.29,55.75,94.51
1,2,2,29.58,52.1,96.82
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,1,0,82.56,77.15,0.0
2,1,1,70.59,88.62,0.0
2,1,2,68.17,90.49,0.0
2,2,0,21.32,69.49,92.8
2,2,1,29.1,73.01,98.44
2,2,2,22.58,81.28,99.61
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,1,0,99.25,62.45,0.0
3,1,1,89.06,87.45,0.0
3,1,2,93.45,91.16,0.0
3,2,0,86.81,65.07,77.75
3,2,1,81.01,85.81,91.27
3,2,2,81.38,80.13,92.41
4,0,0,74.15,0.0,0.0
4,0,1,91.52,0.0,0.0
4,0,2,92.66,0.0,0.0
4,1,0,80.46,99.9,0.0
4,1,1,51.19,99.22,0.0
4,1,2,50.88,100.0,0.0
4,2,0,8.17,64.11,96.32
4,2,1,14.89,65.95,95.69
4,2,2,14.17,68.77,94.85
