run,task,cycle,task_1,task_2,task_3
0,0,0,86.98,0.0,0.0
0,0,1,93.86,0.0,0.0
0,0,2,95.21,0.0,0.0
0,0,3,95.51,0.0,0.0
0,0,4,95.96,0.0,0.0
0,1,0,79.64,91.17,0.0
0,1,1,97.31,95.49,0.0
0,1,2,98.65,97.29,0.0
0,1,3,98.35,97.39,0.0
0,1,4,98.5,97.19,0.0
0,2,0,96.26,96.69,86.26
0,2,1,97.16,95.89,86.84
0,2,2,97.31,96.69,84.31
0,2,3,97.01,96.99,87.04
0,2,4,96.71,96.89,86.84
1,0,0,98.9,0.0,0.0
1,0,1,96.69,0.0,0.0
1,0,2,99.03,0.0,0.0
1,0,3,99.86,0.0,0.0
1,0,4,99.72,0.0,0.0
1,1,0,99.72,99.62,0.0
1,1,1,98.9,99.52,0.0
1,1,2,98.9,99.52,0.0
1,1,3,98.9,99.62,0.0
1,1,4,98.9,99.9,0.0
1,2,0,70.07,90.6,86.01
1,2,1,92.41,90.8,91.69
1,2,2,84.97,87.63,91.8
1,2,3,87.17,88.59,91.17
1,2,4,91.31,86.48,90.33
2,0,0,99.86,0.0,0.0
2,0,1,99.86,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.72,0.0,0.0
2,0,4,99.72,0.0,0.0
2,1,0,84.73,89.3,0.0
2,1,1,97.9,96.99,0.0
2,1,2,97.48,97.92,0.0
2,1,3,97.76,97.92,0.0
2,1,4,97.76,98.03,0.0
2,2,0,71.85,91.48,93.68
2,2,1,61.06,88.16,96.05
2,2,2,64.15,88.99,95.56
2,2,3,50.14,84.63,96.54
2,2,4,54.76,85.57,96.54
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,99.63,98.43,0.0
3,1,1,100.0,98.32,0.0
3,1,2,100.0,99.9,0.0
3,1,3,100.0,99.9,0.0
3,1,4,99.88,100.0,0.0
3,2,0,62.55,71.41,90.0
3,2,1,54.18,85.13,97.47
3,2,2,55.68,85.45,97.26
3,2,3,56.43,85.86,97.16
3,2,4,57.05,86.18,97.16
4,0,0,96.14,0.0,0.0
4,0,1,96.83,0.0,0.0
4,0,2,99.45,0.0,0.0
4,0,3,99.72,0.0,0.0
4,0,4,99.72,0.0,0.0
4,1,0,96.28,95.16,0.0
4,1,1,97.93,97.53,0.0
4,1,2,97.93,97.63,0.0
4,1,3,97.93,97.63,0.0
4,1,4,98.76,97.63,0.0
4,2,0,81.79,87.66,88.88
4,2,1,87.17,91.51,90.32
4,2,2,85.24,86.87,93.82
4,2,3,84.14,85.29,94.13
4,2,4,91.45,85.39,93.72
