run,task,cycle,task_1,task_2,task_3
0,0,0,76.95,0.0,0.0
0,0,1,80.69,0.0,0.0
0,0,2,84.73,0.0,0.0
0,0,3,84.13,0.0,0.0
0,0,4,84.73,0.0,0.0
0,1,0,66.17,80.64,0.0
0,1,1,68.56,84.55,0.0
0,1,2,69.01,84.55,0.0
0,1,3,71.86,90.07,0.0
0,1,4,79.19,89.57,0.0
0,2,0,83.38,88.06,82.94
0,2,1,75.75,88.57,82.85
0,2,2,73.8,88.67,82.75
0,2,3,61.08,86.76,83.43
0,2,4,60.33,86.36,83.72
1,0,0,57.38,0.0,0.0
1,0,1,48.97,0.0,0.0
1,0,2,48.14,0.0,0.0
1,0,3,48.14,0.0,0.0
1,0,4,48.14,0.0,0.0
1,1,0,89.79,94.63,0.0
1,1,1,96.55,98.66,0.0
1,1,2,93.38,98.18,0.0
1,1,3,93.93,98.56,0.0
1,1,4,93.93,98.56,0.0
1,2,0,71.72,88.78,81.07
1,2,1,59.72,85.43,87.91
1,2,2,61.38,84.76,88.33
1,2,3,61.1,84.76,88.75
1,2,4,60.41,85.52,89.7
2,0,0,99.44,0.0,0.0
2,0,1,99.58,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.72,0.0,0.0
2,0,4,99.3,0.0,0.0
2,1,0,83.33,72.9,0.0
2,1,1,76.05,81.62,0.0
2,1,2,80.81,83.28,0.0
2,1,3,84.45,83.7,0.0
2,1,4,85.85,84.01,0.0
2,2,0,72.55,81.93,90.52
2,2,1,51.26,83.9,92.5
2,2,2,58.12,84.32,92.4
2,2,3,59.1,84.84,92.3
2,2,4,40.06,70.82,92.5
3,0,0,100.0,0.0,0.0
3,0,1,99.5,0.0,0.0
3,0,2,98.5,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,100.0,77.49,0.0
3,1,1,96.13,84.4,0.0
3,1,2,97.75,93.82,0.0
3,1,3,99.5,95.81,0.0
3,1,4,99.38,95.6,0.0
3,2,0,95.13,83.04,69.37
3,2,1,60.17,77.8,86.32
3,2,2,61.42,80.0,87.37
3,2,3,63.55,80.42,86.74
3,2,4,74.41,85.86,87.58
4,0,0,78.62,0.0,0.0
4,0,1,83.72,0.0,0.0
4,0,2,90.76,0.0,0.0
4,0,3,92.41,0.0,0.0
4,0,4,96.97,0.0,0.0
4,1,0,93.24,91.71,0.0
4,1,1,95.45,94.77,0.0
4,1,2,95.59,94.87,0.0
4,1,3,96.83,95.76,0.0
4,1,4,96.97,96.15,0.0
4,2,0,63.59,76.01,91.56
4,2,1,66.76,82.03,90.32
4,2,2,63.31,82.03,90.22
4,2,3,59.03,81.64,91.14
4,2,4,57.52,82.03,91.25
