run,task,cycle,task_1,task_2,task_3
0,0,0,65.43,0.0,0.0
0,0,1,74.64,0.0,0.0
0,0,2,85.41,0.0,0.0
0,0,3,87.99,0.0,0.0
0,0,4,88.1,0.0,0.0
0,1,0,80.36,70.96,0.0
0,1,1,46.91,95.55,0.0
0,1,2,32.32,96.71,0.0
0,1,3,16.95,97.39,0.0
0,1,4,17.17,97.39,0.0
0,2,0,25.93,99.52,78.01
0,2,1,48.37,98.84,80.45
0,2,2,47.7,98.84,80.74
0,2,3,46.13,99.13,81.82
0,2,4,45.79,99.13,82.21
1,0,0,50.57,0.0,0.0
1,0,1,69.29,0.0,0.0
1,0,2,90.9,0.0,0.0
1,0,3,88.93,0.0,0.0
1,0,4,89.35,0.0,0.0
1,1,0,69.7,94.95,0.0
1,1,1,89.14,100.0,0.0
1,1,2,71.66,100.0,0.0
1,1,3,75.59,100.0,0.0
1,1,4,76.01,100.0,0.0
1,2,0,32.47,83.72,78.59
1,2,1,30.92,91.58,87.27
1,2,2,31.13,92.8,86.94
1,2,3,38.06,87.93,90.67
1,2,4,29.16,83.35,90.34
2,0,0,99.58,0.0,0.0
2,0,1,99.58,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.58,0.0,0.0
2,0,4,99.68,0.0,0.0
2,1,0,69.64,71.66,0.0
2,1,1,53.89,94.52,0.0
2,1,2,54.52,96.48,0.0
2,1,3,54.94,97.1,0.0
2,1,4,58.19,98.04,0.0
2,2,0,53.26,94.62,90.37
2,2,1,46.22,92.66,91.34
2,2,2,49.89,93.07,91.25
2,2,3,50.74,93.49,91.25
2,2,4,54.52,92.66,91.54
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,97.19,56.88,0.0
3,1,1,57.34,85.37,0.0
3,1,2,78.39,86.46,0.0
3,1,3,92.14,86.46,0.0
3,1,4,93.08,87.01,0.0
3,2,0,84.75,55.68,72.25
3,2,1,66.88,29.59,94.39
3,2,2,60.43,46.4,94.91
3,2,3,61.37,46.29,94.91
3,2,4,64.08,45.09,94.59
4,0,0,48.29,0.0,0.0
4,0,1,69.08,0.0,0.0
4,0,2,81.8,0.0,0.0
4,0,3,85.73,0.0,0.0
4,0,4,94.31,0.0,0.0
4,1,0,94.31,92.22,0.0
4,1,1,92.45,99.61,0.0
4,1,2,91.31,99.71,0.0
4,1,3,87.69,99.71,0.0
4,1,4,86.14,99.9,0.0
4,2,0,48.91,73.05,82.67
4,2,1,46.43,79.57,92.02
4,2,2,45.6,80.54,92.23
4,2,3,45.4,80.64,92.65
4,2,4,44.57,80.84,92.96
