run,task,cycle,task_1,task_2,task_3
0,0,0,76.95,0.0,0.0
0,0,1,80.69,0.0,0.0
0,0,2,84.73,0.0,0.0
0,0,3,84.13,0.0,0.0
0,0,4,84.73,0.0,0.0
0,1,0,58.68,73.52,0.0
0,1,1,69.46,83.05,0.0
0,1,2,77.99,87.66,0.0
0,1,3,78.29,87.56,0.0
0,1,4,77.84,89.37,0.0
0,2,0,75.45,91.07,82.46
0,2,1,69.01,90.57,86.45
0,2,2,69.46,90.87,86.74
0,2,3,64.67,89.97,88.5
0,2,4,64.97,90.07,87.33
1,0,0,57.38,0.0,0.0
1,0,1,48.97,0.0,0.0
1,0,2,48.14,0.0,0.0
1,0,3,48.14,0.0,0.0
1,0,4,48.14,0.0,0.0
1,1,0,91.45,97.99,0.0
1,1,1,86.21,96.16,0.0
1,1,2,90.07,97.99,0.0
1,1,3,92.0,98.47,0.0
1,1,4,92.55,98.37,0.0
1,2,0,58.21,70.85,88.64
1,2,1,54.76,80.35,88.75
1,2,2,54.76,80.35,88.75
1,2,3,55.45,80.44,88.64
1,2,4,55.86,81.11,87.7
2,0,0,99.44,0.0,0.0
2,0,1,99.58,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.72,0.0,0.0
2,0,4,99.3,0.0,0.0
2,1,0,77.45,57.94,0.0
2,1,1,91.18,84.94,0.0
2,1,2,88.94,86.81,0.0
2,1,3,82.35,88.06,0.0
2,1,4,82.35,87.54,0.0
2,2,0,62.18,66.67,76.41
2,2,1,66.11,85.15,92.99
2,2,2,59.24,83.39,93.88
2,2,3,60.78,83.9,93.68
2,2,4,63.31,80.17,92.2
3,0,0,100.0,0.0,0.0
3,0,1,99.5,0.0,0.0
3,0,2,98.5,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,96.38,92.77,0.0
3,1,1,97.5,94.87,0.0
3,1,2,97.63,95.08,0.0
3,1,3,99.75,96.65,0.0
3,1,4,99.75,96.96,0.0
3,2,0,88.76,87.02,69.16
3,2,1,55.43,80.63,94.63
3,2,2,55.93,80.52,94.42
3,2,3,56.8,80.52,94.63
3,2,4,60.67,82.62,94.42
4,0,0,78.62,0.0,0.0
4,0,1,83.72,0.0,0.0
4,0,2,90.76,0.0,0.0
4,0,3,92.41,0.0,0.0
4,0,4,96.97,0.0,0.0
4,1,0,87.31,95.46,0.0
4,1,1,87.59,95.06,0.0
4,1,2,93.52,95.56,0.0
4,1,3,93.66,95.56,0.0
4,1,4,98.21,97.04,0.0
4,2,0,36.69,77.49,88.16
4,2,1,28.83,70.09,92.89
4,2,2,28.97,70.38,93.2
4,2,3,29.52,70.78,93.31
4,2,4,29.24,71.96,93.41
