run,task,cycle,task_1,task_2,task_3
0,0,0,86.98,0.0,0.0
0,0,1,93.56,0.0,0.0
0,0,2,91.17,0.0,0.0
0,0,3,92.07,0.0,0.0
0,0,4,92.22,0.0,0.0
0,1,0,83.98,95.49,0.0
0,1,1,95.96,95.79,0.0
0,1,2,96.41,95.99,0.0
0,1,3,97.16,96.99,0.0
0,1,4,97.75,96.89,0.0
0,2,0,98.65,96.69,86.74
0,2,1,94.91,96.39,84.7
0,2,2,96.41,96.69,85.67
0,2,3,96.71,96.89,85.38
0,2,4,96.56,96.99,85.87
1,0,0,98.9,0.0,0.0
1,0,1,96.97,0.0,0.0
1,0,2,99.72,0.0,0.0
1,0,3,99.45,0.0,0.0
1,0,4,99.59,0.0,0.0
1,1,0,98.34,99.14,0.0
1,1,1,99.72,99.9,0.0
1,1,2,99.72,99.9,0.0
1,1,3,99.72,99.9,0.0
1,1,4,99.86,99.9,0.0
1,2,0,80.97,83.13,82.44
1,2,1,89.79,88.21,91.17
1,2,2,66.07,83.7,91.59
1,2,3,78.76,87.34,91.69
1,2,4,88.55,87.44,91.27
2,0,0,99.86,0.0,0.0
2,0,1,99.86,0.0,0.0
2,0,2,100.0,0.0,0.0
2,0,3,100.0,0.0,0.0
2,0,4,100.0,0.0,0.0
2,1,0,91.32,90.13,0.0
2,1,1,97.76,92.32,0.0
2,1,2,99.02,94.6,0.0
2,1,3,99.44,97.3,0.0
2,1,4,99.72,96.99,0.0
2,2,0,94.12,98.65,73.05
2,2,1,48.74,85.05,98.03
2,2,2,61.06,89.41,97.83
2,2,3,69.05,90.86,97.63
2,2,4,71.57,91.69,97.53
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,100.0,93.51,0.0
3,1,1,99.75,99.69,0.0
3,1,2,100.0,99.37,0.0
3,1,3,100.0,99.37,0.0
3,1,4,99.88,99.58,0.0
3,2,0,67.92,82.41,91.68
3,2,1,66.17,83.46,94.95
3,2,2,66.17,83.35,95.05
3,2,3,68.54,83.98,94.53
3,2,4,68.91,84.4,94.42
4,0,0,96.14,0.0,0.0
4,0,1,94.48,0.0,0.0
4,0,2,95.31,0.0,0.0
4,0,3,96.41,0.0,0.0
4,0,4,99.45,0.0,0.0
4,1,0,97.1,97.73,0.0
4,1,1,96.97,97.53,0.0
4,1,2,97.1,97.63,0.0
4,1,3,96.14,97.33,0.0
4,1,4,95.86,97.24,0.0
4,2,0,91.17,83.71,83.73
4,2,1,88.97,84.4,90.22
4,2,2,87.72,82.33,92.17
4,2,3,87.45,82.92,92.38
4,2,4,87.72,83.91,92.38
