run,task,cycle,task_1,task_2,task_3
0,0,0,54.88,0.0,0.0
0,0,1,82.94,0.0,0.0
0,0,2,89.0,0.0,0.0
0,0,3,89.23,0.0,0.0
0,0,4,86.53,0.0,0.0
0,1,0,68.46,86.45,0.0
0,1,1,78.79,94.87,0.0
0,1,2,32.21,97.0,0.0
0,1,3,42.2,97.39,0.0
0,1,4,48.26,97.19,0.0
0,2,0,59.15,97.0,82.5
0,2,1,78.11,96.71,81.82
0,2,2,79.12,96.03,82.21
0,2,3,79.12,96.03,82.4
0,2,4,79.12,95.84,82.5
1,0,0,48.81,0.0,0.0
1,0,1,90.49,0.0,0.0
1,0,2,95.45,0.0,0.0
1,0,3,97.1,0.0,0.0
1,0,4,97.21,0.0,0.0
1,1,0,95.76,90.93,0.0
1,1,1,78.28,99.91,0.0
1,1,2,78.39,100.0,0.0
1,1,3,77.97,100.0,0.0
1,1,4,75.28,99.91,0.0
1,2,0,30.92,67.54,81.01
1,2,1,66.6,82.41,90.78
1,2,2,62.05,74.56,95.72
1,2,3,61.53,74.46,95.61
1,2,4,61.63,74.84,95.5
2,0,0,99.16,0.0,0.0
2,0,1,99.26,0.0,0.0
2,0,2,99.37,0.0,0.0
2,0,3,99.26,0.0,0.0
2,0,4,99.16,0.0,0.0
2,1,0,78.05,79.42,0.0
2,1,1,58.82,92.24,0.0
2,1,2,59.66,94.93,0.0
2,1,3,64.71,93.17,0.0
2,1,4,66.7,94.11,0.0
2,2,0,33.93,95.86,90.56
2,2,1,38.87,93.49,90.76
2,2,2,54.73,95.14,91.44
2,2,3,51.26,94.93,91.54
2,2,4,51.79,94.83,91.54
3,0,0,100.0,0.0,0.0
3,0,1,97.66,0.0,0.0
3,0,2,98.5,0.0,0.0
3,0,3,98.22,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,94.29,88.32,0.0
3,1,1,94.57,87.77,0.0
3,1,2,95.04,87.99,0.0
3,1,3,95.6,88.21,0.0
3,1,4,95.98,92.25,0.0
3,2,0,57.16,73.14,88.36
3,2,1,67.54,85.48,94.7
3,2,2,63.52,85.48,96.36
3,2,3,63.89,85.37,96.36
3,2,4,64.27,85.15,96.36
4,0,0,91.52,0.0,0.0
4,0,1,92.24,0.0,0.0
4,0,2,94.21,0.0,0.0
4,0,3,97.31,0.0,0.0
4,0,4,98.45,0.0,0.0
4,1,0,97.0,92.51,0.0
4,1,1,98.35,99.71,0.0
4,1,2,95.76,99.32,0.0
4,1,3,93.9,99.51,0.0
4,1,4,93.49,99.61,0.0
4,2,0,67.22,64.49,93.8
4,2,1,70.53,72.76,95.27
4,2,2,80.97,67.51,98.74
4,2,3,78.59,71.11,98.63
4,2,4,76.22,71.3,98.74
