run,task,cycle,task_1,task_2,task_3
0,0,0,76.95,0.0,0.0
0,0,1,80.69,0.0,0.0
0,0,2,84.73,0.0,0.0
0,0,3,84.13,0.0,0.0
0,0,4,84.73,0.0,0.0
0,1,0,78.29,76.53,0.0
0,1,1,88.62,90.87,0.0
0,1,2,82.63,94.48,0.0
0,1,3,88.17,96.29,0.0
0,1,4,89.67,96.39,0.0
0,2,0,80.09,91.37,82.26
0,2,1,80.69,91.47,82.26
0,2,2,77.1,92.08,83.43
0,2,3,51.95,85.86,85.09
0,2,4,52.1,85.96,84.89
1,0,0,57.38,0.0,0.0
1,0,1,48.97,0.0,0.0
1,0,2,48.14,0.0,0.0
1,0,3,48.14,0.0,0.0
1,0,4,48.14,0.0,0.0
1,1,0,88.0,94.73,0.0
1,1,1,98.21,99.42,0.0
1,1,2,98.48,99.04,0.0
1,1,3,99.31,99.33,0.0
1,1,4,99.59,99.14,0.0
1,2,0,81.66,94.34,74.76
1,2,1,76.55,85.71,87.07
1,2,2,74.21,83.22,92.11
1,2,3,76.0,85.14,90.75
1,2,4,77.24,85.43,90.85
2,0,0,99.44,0.0,0.0
2,0,1,99.58,0.0,0.0
2,0,2,99.58,0.0,0.0
2,0,3,99.72,0.0,0.0
2,0,4,99.3,0.0,0.0
2,1,0,90.2,51.3,0.0
2,1,1,85.01,62.1,0.0
2,1,2,79.41,79.96,0.0
2,1,3,78.15,81.41,0.0
2,1,4,84.87,83.9,0.0
2,2,0,73.53,85.46,84.9
2,2,1,34.45,77.26,94.87
2,2,2,35.29,77.78,95.06
2,2,3,35.71,77.78,95.06
2,2,4,37.11,78.3,95.06
3,0,0,100.0,0.0,0.0
3,0,1,99.5,0.0,0.0
3,0,2,98.5,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,100.0,67.64,0.0
3,1,1,99.25,93.3,0.0
3,1,2,99.13,92.67,0.0
3,1,3,99.13,93.3,0.0
3,1,4,99.25,93.82,0.0
3,2,0,91.76,81.99,87.47
3,2,1,56.93,75.6,94.21
3,2,2,60.67,77.59,95.05
3,2,3,51.44,83.66,97.37
3,2,4,51.94,83.87,97.26
4,0,0,78.62,0.0,0.0
4,0,1,83.72,0.0,0.0
4,0,2,90.76,0.0,0.0
4,0,3,92.41,0.0,0.0
4,0,4,96.97,0.0,0.0
4,1,0,92.97,94.77,0.0
4,1,1,93.52,95.06,0.0
4,1,2,94.07,95.16,0.0
4,1,3,94.62,95.16,0.0
4,1,4,96.55,94.87,0.0
4,2,0,80.69,83.81,83.83
4,2,1,81.66,82.23,88.67
4,2,2,81.79,81.93,89.29
4,2,3,81.1,85.78,91.76
4,2,4,82.07,85.0,91.25
