run,task,cycle,task_1,task_2,task_3
0,0,0,90.01,0.0,0.0
0,0,1,94.28,0.0,0.0
0,0,2,94.61,0.0,0.0
0,0,3,92.59,0.0,0.0
0,0,4,92.48,0.0,0.0
0,1,0,82.94,99.23,0.0
0,1,1,93.38,97.97,0.0
0,1,2,92.37,98.16,0.0
0,1,3,90.57,98.16,0.0
0,1,4,88.66,98.16,0.0
0,2,0,96.75,85.48,83.68
0,2,1,93.6,97.87,81.92
0,2,2,93.6,97.87,82.01
0,2,3,93.83,97.77,82.6
0,2,4,92.59,97.87,80.25
1,0,0,99.07,0.0,0.0
1,0,1,98.66,0.0,0.0
1,0,2,99.28,0.0,0.0
1,0,3,98.97,0.0,0.0
1,0,4,98.66,0.0,0.0
1,1,0,98.66,98.5,0.0
1,1,1,98.04,99.72,0.0
1,1,2,98.66,99.72,0.0
1,1,3,98.76,99.72,0.0
1,1,4,98.86,99.81,0.0
1,2,0,91.11,90.55,83.75
1,2,1,92.76,78.77,93.96
1,2,2,88.62,74.18,94.95
1,2,3,88.42,76.24,95.06
1,2,4,88.42,76.89,95.06
2,0,0,99.47,0.0,0.0
2,0,1,98.63,0.0,0.0
2,0,2,97.48,0.0,0.0
2,0,3,96.11,0.0,0.0
2,0,4,94.12,0.0,0.0
2,1,0,91.7,90.9,0.0
2,1,1,68.28,97.1,0.0
2,1,2,78.47,97.41,0.0
2,1,3,81.09,96.79,0.0
2,1,4,81.41,96.48,0.0
2,2,0,74.68,92.86,93.0
2,2,1,43.17,92.97,97.47
2,2,2,43.91,92.86,97.47
2,2,3,44.43,92.66,97.47
2,2,4,46.22,92.66,97.47
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,99.72,92.47,0.0
3,1,1,99.72,92.25,0.0
3,1,2,99.91,92.79,0.0
3,1,3,100.0,93.12,0.0
3,1,4,99.81,93.56,0.0
3,2,0,78.67,92.79,91.68
3,2,1,62.11,92.79,95.84
3,2,2,63.89,93.01,95.84
3,2,3,66.04,93.01,95.95
3,2,4,67.54,92.9,95.32
4,0,0,98.14,0.0,0.0
4,0,1,98.55,0.0,0.0
4,0,2,98.24,0.0,0.0
4,0,3,96.59,0.0,0.0
4,0,4,98.76,0.0,0.0
4,1,0,96.28,97.67,0.0
4,1,1,96.59,99.71,0.0
4,1,2,95.45,99.71,0.0
4,1,3,94.83,99.81,0.0
4,1,4,94.62,99.81,0.0
4,2,0,77.66,73.54,95.06
4,2,1,79.63,78.31,95.69
4,2,2,88.11,73.15,99.05
4,2,3,87.59,74.42,97.9
4,2,4,87.59,74.71,97.69
