run,task,cycle,task_1,task_2,task_3
0,0,0,65.43,0.0,0.0
0,0,1,83.39,0.0,0.0
0,0,2,80.36,0.0,0.0
0,0,3,87.21,0.0,0.0
0,0,4,89.9,0.0,0.0
0,1,0,87.21,72.6,0.0
0,1,1,27.61,95.74,0.0
0,1,2,27.05,95.64,0.0
0,1,3,25.36,95.26,0.0
0,1,4,25.14,95.26,0.0
0,2,0,32.66,94.97,66.96
0,2,1,39.62,94.19,79.37
0,2,2,44.78,93.61,79.18
0,2,3,45.01,94.0,80.06
0,2,4,46.02,94.09,80.45
1,0,0,50.57,0.0,0.0
1,0,1,48.71,0.0,0.0
1,0,2,48.71,0.0,0.0
1,0,3,48.71,0.0,0.0
1,0,4,48.71,0.0,0.0
1,1,0,17.27,96.54,0.0
1,1,1,20.37,96.16,0.0
1,1,2,26.37,95.98,0.0
1,1,3,31.75,95.98,0.0
1,1,4,47.26,95.6,0.0
1,2,0,40.85,69.88,89.35
1,2,1,41.68,71.19,88.69
1,2,2,24.1,73.15,90.78
1,2,3,21.2,73.15,91.55
1,2,4,18.3,73.71,92.21
2,0,0,99.58,0.0,0.0
2,0,1,98.84,0.0,0.0
2,0,2,97.9,0.0,0.0
2,0,3,96.85,0.0,0.0
2,0,4,96.43,0.0,0.0
2,1,0,74.05,69.29,0.0
2,1,1,77.0,82.83,0.0
2,1,2,64.6,81.49,0.0
2,1,3,61.66,90.38,0.0
2,1,4,61.66,91.0,0.0
2,2,0,21.32,93.28,87.94
2,2,1,31.83,93.17,87.16
2,2,2,26.58,92.55,88.62
2,2,3,28.26,92.66,88.13
2,2,4,30.15,92.86,88.13
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,97.47,0.0,0.0
3,0,4,97.47,0.0,0.0
3,1,0,96.63,76.97,0.0
3,1,1,96.73,88.86,0.0
3,1,2,85.87,82.31,0.0
3,1,3,95.32,87.12,0.0
3,1,4,89.06,85.81,0.0
3,2,0,78.48,41.48,85.14
3,2,1,78.77,44.76,84.82
3,2,2,85.22,50.0,87.32
3,2,3,85.22,51.75,89.71
3,2,4,86.16,46.29,90.02
4,0,0,48.29,0.0,0.0
4,0,1,85.21,0.0,0.0
4,0,2,83.14,0.0,0.0
4,0,3,88.31,0.0,0.0
4,0,4,93.9,0.0,0.0
4,1,0,93.59,93.0,0.0
4,1,1,92.86,93.29,0.0
4,1,2,93.17,93.29,0.0
4,1,3,94.0,93.29,0.0
4,1,4,95.24,93.39,0.0
4,2,0,33.51,84.73,89.29
4,2,1,34.44,85.6,88.76
4,2,2,35.06,86.38,88.24
4,2,3,35.99,86.87,88.03
4,2,4,41.26,81.23,93.7
