run,task,cycle,task_1,task_2,task_3
0,0,0,90.01,0.0,0.0
0,0,1,94.28,0.0,0.0
0,1,0,73.74,98.84,0.0
0,1,1,51.96,99.81,0.0
0,2,0,91.81,98.45,82.89
0,2,1,92.26,95.64,82.01
1,0,0,99.07,0.0,0.0
1,0,1,98.66,0.0,0.0
1,1,0,98.76,98.32,0.0
1,1,1,98.14,100.0,0.0
1,2,0,69.8,60.99,95.5
1,2,1,86.56,80.82,90.34
2,0,0,99.47,0.0,0.0
2,0,1,98.63,0.0,0.0
2,1,0,90.44,90.49,0.0
2,1,1,91.6,92.45,0.0
2,2,0,74.05,91.93,95.04
2,2,1,41.28,91.42,99.12
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,1,0,99.81,94.1,0.0
3,1,1,92.24,99.45,0.0
3,2,0,69.22,92.58,92.1
3,2,1,79.79,92.79,92.2
4,0,0,98.14,0.0,0.0
4,0,1,98.55,0.0,0.0
4,1,0,97.93,97.76,0.0
4,1,1,97.93,97.76,0.0
4,2,0,61.22,76.65,92.86
4,2,1,71.98,70.23,96.32
