run,task,cycle,task_1,task_2,task_3
0,0,0,54.88,0.0,0.0
0,0,1,52.53,0.0,0.0
0,0,2,52.41,0.0,0.0
0,0,3,72.05,0.0,0.0
0,0,4,86.53,0.0,0.0
0,1,0,76.09,88.38,0.0
0,1,1,4.15,97.29,0.0
0,1,2,4.26,97.29,0.0
0,1,3,4.94,97.29,0.0
0,1,4,4.38,97.29,0.0
0,2,0,43.21,96.9,80.74
0,2,1,45.9,96.52,82.4
0,2,2,46.46,96.71,82.11
0,2,3,79.35,95.16,78.4
0,2,4,79.12,95.26,79.57
1,0,0,48.81,0.0,0.0
1,0,1,48.71,0.0,0.0
1,0,2,48.71,0.0,0.0
1,0,3,48.71,0.0,0.0
1,0,4,48.71,0.0,0.0
1,1,0,19.13,96.54,0.0
1,1,1,23.16,96.26,0.0
1,1,2,82.52,99.63,0.0
1,1,3,88.93,100.0,0.0
1,1,4,89.04,100.0,0.0
1,2,0,41.99,88.03,82.77
1,2,1,33.92,88.03,89.68
1,2,2,37.75,87.84,93.3
1,2,3,33.71,82.32,94.4
1,2,4,36.19,85.03,94.73
2,0,0,99.16,0.0,0.0
2,0,1,97.79,0.0,0.0
2,0,2,96.85,0.0,0.0
2,0,3,95.06,0.0,0.0
2,0,4,92.86,0.0,0.0
2,1,0,71.95,88.21,0.0
2,1,1,59.14,93.69,0.0
2,1,2,63.55,93.8,0.0
2,1,3,65.65,93.07,0.0
2,1,4,70.06,91.42,0.0
2,2,0,38.76,89.76,83.37
2,2,1,40.55,89.97,82.59
2,2,2,39.08,87.38,91.93
2,2,3,45.17,90.18,91.15
2,2,4,45.8,89.76,91.15
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,94.2,83.62,0.0
3,1,1,94.48,84.28,0.0
3,1,2,94.76,89.52,0.0
3,1,3,94.67,88.65,0.0
3,1,4,94.86,90.39,0.0
3,2,0,73.06,68.01,89.81
3,2,1,78.2,62.34,94.59
3,2,2,55.19,81.77,95.53
3,2,3,55.57,82.42,95.43
3,2,4,56.31,76.53,96.57
4,0,0,91.52,0.0,0.0
4,0,1,93.59,0.0,0.0
4,0,2,92.76,0.0,0.0
4,0,3,91.42,0.0,0.0
4,0,4,91.0,0.0,0.0
4,1,0,94.52,93.68,0.0
4,1,1,83.35,96.89,0.0
4,1,2,72.39,97.08,0.0
4,1,3,69.8,98.25,0.0
4,1,4,87.07,99.71,0.0
4,2,0,70.53,70.72,90.13
4,2,1,72.49,76.36,91.07
4,2,2,73.63,70.53,94.75
4,2,3,69.08,73.83,95.8
4,2,4,68.36,73.83,95.8
