run,task,cycle,task_1,task_2,task_3
0,0,0,90.01,0.0,0.0
0,0,1,94.28,0.0,0.0
0,1,0,73.74,98.84,0.0
0,1,1,52.08,99.81,0.0
0,2,0,92.03,98.45,82.8
0,2,1,91.69,95.74,83.28
1,0,0,99.07,0.0,0.0
1,0,1,98.66,0.0,0.0
1,1,0,98.76,98.32,0.0
1,1,1,98.14,100.0,0.0
1,2,0,69.7,60.99,95.61
1,2,1,89.66,78.11,94.18
2,0,0,99.47,0.0,0.0
2,0,1,98.63,0.0,0.0
2,1,0,90.44,90.49,0.0
2,1,1,91.6,92.55,0.0
2,2,0,75.42,92.66,94.75
2,2,1,44.01,92.04,99.42
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,1,0,99.81,94.1,0.0
3,1,1,92.33,99.34,0.0
3,2,0,71.66,94.32,90.12
3,2,1,73.71,91.7,92.72
4,0,0,98.14,0.0,0.0
4,0,1,98.55,0.0,0.0
4,1,0,97.93,97.76,0.0
4,1,1,97.93,97.76,0.0
4,2,0,61.43,76.75,92.86
4,2,1,71.98,69.84,96.32
