run,task,cycle,task_1,task_2,task_3
0,0,0,54.88,0.0,0.0
0,0,1,52.53,0.0,0.0
0,0,2,52.41,0.0,0.0
0,0,3,72.05,0.0,0.0
0,0,4,86.53,0.0,0.0
0,1,0,76.09,88.38,0.0
0,1,1,3.82,97.19,0.0
0,1,2,3.59,97.29,0.0
0,1,3,3.37,97.29,0.0
0,1,4,2.69,97.29,0.0
0,2,0,34.23,96.81,83.68
0,2,1,39.39,96.81,79.96
0,2,2,84.51,95.26,80.06
0,2,3,80.58,94.68,81.13
0,2,4,80.25,94.77,80.65
1,0,0,48.81,0.0,0.0
1,0,1,48.71,0.0,0.0
1,0,2,48.71,0.0,0.0
1,0,3,48.71,0.0,0.0
1,0,4,48.71,0.0,0.0
1,1,0,19.13,96.54,0.0
1,1,1,23.16,96.26,0.0
1,1,2,83.66,99.63,0.0
1,1,3,89.56,100.0,0.0
1,1,4,75.18,99.81,0.0
1,2,0,58.43,82.79,90.45
1,2,1,41.47,76.43,93.08
1,2,2,41.16,69.32,93.52
1,2,3,40.85,68.48,94.73
1,2,4,40.54,66.88,94.73
2,0,0,99.16,0.0,0.0
2,0,1,97.79,0.0,0.0
2,0,2,96.85,0.0,0.0
2,0,3,95.06,0.0,0.0
2,0,4,92.86,0.0,0.0
2,1,0,71.95,88.21,0.0
2,1,1,64.6,92.66,0.0
2,1,2,64.6,86.45,0.0
2,1,3,66.39,91.11,0.0
2,1,4,66.7,90.69,0.0
2,2,0,56.72,85.42,80.16
2,2,1,48.11,94.52,88.13
2,2,2,42.44,93.28,89.2
2,2,3,27.31,81.49,94.84
2,2,4,27.94,82.01,94.65
3,0,0,100.0,0.0,0.0
3,0,1,100.0,0.0,0.0
3,0,2,100.0,0.0,0.0
3,0,3,100.0,0.0,0.0
3,0,4,100.0,0.0,0.0
3,1,0,94.2,83.52,0.0
3,1,1,94.48,87.01,0.0
3,1,2,94.67,90.83,0.0
3,1,3,94.86,91.81,0.0
3,1,4,94.86,93.34,0.0
3,2,0,47.8,70.52,96.26
3,2,1,46.21,87.12,95.22
3,2,2,45.74,86.79,95.74
3,2,3,46.02,86.68,95.74
3,2,4,46.21,86.79,95.74
4,0,0,91.52,0.0,0.0
4,0,1,93.59,0.0,0.0
4,0,2,92.76,0.0,0.0
4,0,3,91.42,0.0,0.0
4,0,4,91.0,0.0,0.0
4,1,0,94.52,93.68,0.0
4,1,1,80.87,97.28,0.0
4,1,2,71.77,97.76,0.0
4,1,3,71.66,97.76,0.0
4,1,4,85.94,97.18,0.0
4,2,0,73.53,63.33,92.96
4,2,1,71.98,70.23,95.69
4,2,2,72.08,70.23,95.8
4,2,3,71.77,70.62,95.38
4,2,4,70.63,67.9,98.21
